HHNR,age,dl_car,dl_moto,park_work_car,park_work_moto,park_work_bike,work_home_perc,height,weight,rdist_sum,rdist_sum_Inland,n_stops,n_trips,travel_times,dist_softmodes,dist_car,dist_pt,dist_other,n_work_trips,n_edu_trips,n_shopping_trips,n_business_trips,n_leisure_trips,n_service_trips,job_x_CH1903,job_y_CH1903,hh_x_ch1903,hh_y_ch1903,hh_size,n_cars_hh,n_moto_hh,n_s_moto_hh,n_mopeds_hh,n_bike_hh,n_ebike_s_hh,n_ebike_f_hh,job_location_city,job_location_popsize_500000_plus,job_location_popsize_200000_500000,job_location_popsize_100000_200000,job_location_popsize_50000_100000,job_location_popsize_50000_minus,job_location_popsize_no_agglo,is_bike_avail,is_small_moped_avail,is_moped_avail,is_moto_avail,is_car_avail,work_sched_fully_fixed,work_sched_fixed_daily_blocks,work_sched_fixed_weekly_monthly,work_sched_fully_flex,ptsub_regional,ptsub_parcours,ptsub_other,ptsub_ht,ptsub_track_sev,ptsub_ga_first,ptsub_ga_second,can_walk_alone,single,married,widowed,divorced,registered_partnership,male,self_employed_with_employees,self_employed_without_employees,employed_by_family,employee_management,employee_with_supervision,employee_without_supervision,compulsory_education,secondary_education,tertiary_education,full_time,part_time,swiss,hh_location_city,hh_location_popsize_500000_plus,hh_location_popsize_200000_500000,hh_location_popsize_100000_200000,hh_location_popsize_50000_100000,hh_location_popsize_50000_minus,hh_location_popsize_no_agglo,pt_access_A,pt_access_B,pt_access_C,pt_access_D,single_household,couple_without_children,couple_with_children,single_parent,non_family_household,hh_income_2000_minus,hh_income_2000_4000,hh_income_4000_6000,hh_income_6000_8000,hh_income_8000_10000,hh_income_10000_12000,hh_income_12000_14000,hh_income_14000_16000,hh_income_16000_plus,work_home_crow_dist,car_net_distance,accsib_car,accsib_pt,accsib_mul,work_home_days
336808,32,1,0,1,0,0,5,169,87,40.276,40.276,5,5,180,0.0,40.276,0.0,0.0,2,0,0,0,3,0,603625,126100,599959,126547,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.6931510935784906,8.221,50614.82,43004.07,82114.03,1
363187,53,1,1,1,0,0,100,173,79,55.623000000000005,55.623000000000005,6,2,460,24.0,0.0,0.0,31.623,0,0,0,0,2,0,708626,254724,708626,254724,4,2,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,7.171,107882.26,17461.31,125132.42,5
368459,53,1,0,1,0,0,25,170,69,10.97,10.97,5,4,100,0.0,0.0,0.0,10.97,0,0,0,4,0,0,499859,125986,499859,125986,4,4,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,1.796,126493.58,101564.63,215406.74,2
474673,41,1,1,1,0,0,0,192,86,9.155,9.155,10,4,55,3.7,0.0,5.455,0.0,3,0,1,0,0,0,682167,247536,681480,249417,2,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.002530898638021,8.074,1541807.71,1965729.24,2295765.09,0
330027,50,1,0,1,0,0,45,176,76,12.0,12.0,6,6,84,12.0,0.0,0.0,0.0,3,0,0,2,1,0,500324,115202,499271,117194,3,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.253191736182254,9.218,438822.0,481207.77,635040.36,3
375489,49,1,0,0,0,0,10,180,82,12.623,12.623,5,4,62,3.8,8.823,0.0,0.0,0,0,1,0,3,0,697149,261715,701533,264661,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.281890949271861,11.11,608625.95,814283.32,976274.92,1
154541,43,1,0,1,0,0,10,172,66,14.563,14.563,2,2,30,0.0,14.563,0.0,0.0,2,0,0,0,0,0,669332,215705,672704,215829,4,5,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.3742791822847145,8.984,228863.02,292875.93,454199.07,1
294982,64,1,1,1,0,0,20,182,73,390.041,390.041,4,4,345,0.0,390.041,0.0,0.0,0,0,0,3,1,0,559033,152537,562975,192201,2,2,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,39.85940616717715,51.617,152516.44,138823.16,212271.57,1
139661,25,1,0,0,0,0,20,161,55,24.206,24.206,4,4,40,0.0,24.206,0.0,0.0,2,0,2,0,0,0,666551,211887,662551,215158,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.16715018167655,15.849,574732.59,698341.98,842465.01,1
369655,50,1,1,1,0,0,100,178,58,78.23899999999999,78.23899999999999,11,6,140,13.7,32.567,31.972,0.0,2,0,0,0,4,0,708909,268538,708909,268538,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.033,269041.54,240135.33,373429.08,5
490009,55,1,0,1,0,0,0,168,65,55.243,55.243,6,5,135,0.0,32.342,0.0,22.901,2,0,1,0,2,0,620084,264602,629848,268943,3,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10.685503123391056,18.336,280630.42,229068.28,428549.58,0
371285,48,1,1,1,0,0,15,185,95,15.385,15.385,2,2,20,0.0,15.385,0.0,0.0,0,0,0,0,2,0,691533,249236,658460,264407,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,36.386571286671135,54.755,365567.46,295336.94,574876.23,1
357339,55,1,0,0,0,0,40,160,55,61.16912979999999,61.16912979999999,6,2,99,2.4431298,0.0,58.726000000000006,0.0,2,0,0,0,0,0,562016,204818,553489,217048,4,1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.909145817249222,23.983,296541.87,370366.38,434351.76,2
138067,26,1,0,1,0,0,10,180,70,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,504357,119587,504358,119589,5,3,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.00223606797749979,0.892,175933.66,192078.13,313633.38,1
321873,54,1,1,0,0,0,100,165,79,19.0,19.0,2,2,50,19.0,0.0,0.0,0.0,0,0,0,0,2,0,651503,248112,651503,248112,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.842,268811.83,179873.97,387703.84,5
176820,41,1,0,1,0,0,10,176,76,106.671378595234,106.671378595234,8,5,240,50.02737859523379,56.644,0.0,0.0,0,0,0,0,5,0,717115,97289,717033,103098,5,3,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5.809578728272817,13.493,179727.0,175626.47,248028.69,1
148899,56,1,0,0,0,0,10,186,82,10.234,10.234,4,4,60,0.0,7.624,0.0,2.61,0,0,0,0,4,0,638213,106893,637855,106443,3,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5750339120434551,1.589,31194.11,60781.17,65558.39,1
154625,47,1,0,1,0,0,10,158,65,61.486,61.486,6,6,120,0.0,61.486,0.0,0.0,0,0,2,0,2,2,651087,218157,651087,218157,6,3,0,0,2,3,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1.944,117168.03,19577.75,130160.07,1
338570,31,1,0,1,0,0,100,185,83,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,701289,279565,701289,279565,5,2,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1.392,101853.79,54598.17,139360.89,5
197452,31,1,1,1,0,0,0,173,70,24.186,24.186,2,2,50,0.0,24.186,0.0,0.0,2,0,0,0,0,0,621662,259059,631356,257263,5,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9.858968100161395,18.811,232145.75,212145.84,361768.15,0
350308,44,1,0,1,0,0,0,175,75,69.217,69.217,5,5,110,0.0,69.217,0.0,0.0,4,0,1,0,0,0,641730,247049,632762,249618,5,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9.328707573935416,24.301,209349.85,182242.33,328066.91,0
323603,53,1,1,0,0,0,3,172,67,156.213,156.213,12,2,220,5.0,7.042000000000001,144.171,0.0,2,0,0,0,0,0,502518,117397,528857,162067,6,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,51.857032512476074,70.776,444425.84,556171.66,704638.72,1
315085,46,1,1,1,0,0,10,180,70,15.0,15.0,1,1,75,15.0,0.0,0.0,0.0,0,0,0,0,1,0,681595,248953,689890,233929,4,1,1,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,17.161806460859534,27.856,1013557.28,1480372.62,1812441.25,1
373535,43,1,0,1,0,0,50,181,77,33.71965,33.71965,12,9,106,4.11065,29.609,0.0,0.0,0,0,5,0,3,1,664820,259092,656184,259619,4,1,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8.652064782466669,17.417,461773.72,475184.42,682394.51,3
183469,23,1,0,0,0,0,20,164,64,16.974,16.974,4,4,40,2.0,14.974,0.0,0.0,2,0,2,0,0,0,710785,220170,710344,225905,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.751930632405089,12.422,56190.5,26029.68,76598.82,1
331907,36,1,0,1,0,0,50,162,54,21.584,21.584,7,6,145,3.0,18.584,0.0,0.0,0,0,2,0,4,0,611796,260637,538353,155341,3,1,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,128.3788217152658,137.854,360314.48,400354.1,579576.15,3
185969,60,1,1,1,0,0,100,168,85,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,634199,227535,634199,227535,4,3,1,2,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.5,95445.11,41511.07,121226.86,5
207180,56,1,1,1,0,0,5,180,78,10.2369881,10.2369881,6,4,31,0.5059880999999999,9.731,0.0,0.0,2,0,2,0,0,0,499116,117437,496647,115325,4,2,2,0,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.249077561401082,10.282,977882.48,1185221.97,1318537.18,1
180238,50,1,0,1,0,0,10,170,63,16.45,16.45,4,4,16,0.0,16.45,0.0,0.0,2,0,2,0,0,0,688762,213160,688910,213322,3,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.21942652528807907,0.922,114084.53,96905.59,178756.74,1
100343,60,1,0,1,0,0,80,180,74,5.394,5.394,2,2,30,0.0,5.394,0.0,0.0,0,0,2,0,0,0,560681,204560,560681,204560,4,1,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2.702,176834.73,205995.36,289766.22,4
483435,39,0,0,0,0,0,5,181,76,3.0,3.0,1,1,90,3.0,0.0,0.0,0.0,0,0,0,0,1,0,680979,248036,680382,248131,5,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.6045113729285827,2.72,1024197.73,1315953.25,1635131.97,1
484689,26,0,0,0,0,0,10,160,70,165.107,165.107,13,5,292,4.68,0.0,160.42700000000002,0.0,3,0,1,0,1,0,666346,209897,669143,212091,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.554834032694072,14.611,404635.76,394146.75,557675.81,1
363787,40,1,0,1,0,0,10,172,67,82.477,82.477,4,4,110,0.0,82.477,0.0,0.0,0,0,2,0,2,0,536501,151846,537802,177490,4,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25.676980683094342,27.848,520415.77,592564.86,747866.64,1
108804,49,1,0,1,0,0,50,168,65,27.589,27.589,3,3,65,0.0,27.589,0.0,0.0,2,0,1,0,0,0,647129,248731,655822,252458,2,3,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9.458265062896048,16.502,405360.28,393125.95,584369.18,3
274986,43,1,1,1,0,0,10,183,70,82.742,82.742,9,4,142,3.0,0.0,79.742,0.0,3,0,0,0,1,0,729902,279412,710803,267970,4,1,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,22.264122821256624,21.847,230064.55,244474.78,327830.22,1
164231,40,1,0,1,0,0,40,160,72,2.8641652651102,2.8641652651102,5,3,47,1.1251652651102,0.972,0.767,0.0,0,0,0,0,1,2,611252,266720,609607,263744,4,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.400382478486795,8.507,1042997.6,1316833.26,1502657.27,2
323647,34,0,0,0,0,0,20,152,55,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,682621,247961,676187,250045,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6.763091896462742,15.88,1731596.71,2227954.57,2602747.52,1
