HHNR,hhtyp,W_OEV_KLASSE,W_BFS,W_X,W_Y,f20601,hhgr,f30100
85,2,3,5,2688370,1188576,1897,85,0
86,3,7,5,2617543,1150420,9881,86,1
87,2,6,9,2608229,1155076,5854,87,2
88,1,4,6,2692925,1212575,8219,88,9
89,230,1,1,2670669,1182065,5656,89,7
90,10,2,7,2601369,1168314,8455,90,0
91,230,9,0,2652517,1206777,2638,91,5
92,10,4,1,2642039,1168098,2038,92,5
93,10,0,9,2613037,1222868,9506,93,8
94,230,3,4,2666769,1188225,8457,94,6
95,3,6,9,2690360,1192826,3495,95,0
96,3,4,8,2682691,1243311,7120,96,1
97,1,4,4,2601885,1152636,7664,97,6
98,10,1,0,2665379,1210204,4758,98,8
99,230,7,3,2637394,1164312,3768,99,7
100,230,2,6,2672262,1154969,923,100,6
101,230,4,3,2625669,1178468,532,101,1
102,230,4,9,2612142,1153201,8875,102,9
103,2,3,0,2600994,1152694,-86,103,1
104,2,8,3,2655438,1158907,479,104,4
105,230,9,2,2636204,1215355,5413,105,9
106,2,1,3,2688357,1211498,-688,106,7
107,230,2,4,2626509,1204920,8476,107,0
108,2,4,3,2633494,1195797,6077,108,0
109,3,3,8,2697462,1156236,2578,109,4
110,1,3,3,2684310,1154099,7971,110,0
111,3,2,6,2620625,1194522,-344,111,2
112,230,5,2,2668490,1191776,3027,112,3
113,230,2,2,2660881,1172249,8837,113,8
114,1,7,9,2603396,1161898,9163,114,9
115,3,3,7,2665768,1179016,3129,115,0
116,1,7,4,2653768,1222483,4598,116,8
117,1,3,9,2696314,1240623,5216,117,8
118,2,4,0,2686451,1184977,9690,118,6
119,10,0,4,2604967,1155385,5776,119,0
120,2,9,0,2605448,1240447,5931,120,2
121,10,0,1,2611169,1235991,8843,121,6
122,3,2,5,2669876,1241505,3006,122,8
123,230,2,9,2699320,1201018,-463,123,7
124,230,6,4,2679982,1159783,5105,124,1
125,230,1,4,2662420,1231703,4567,125,2
126,1,6,2,2656547,1195159,9687,126,2
127,3,2,7,2673299,1173386,1263,127,8
128,3,4,3,2685037,1231565,7571,128,3
129,10,5,0,2671709,1221483,8945,129,2
130,230,2,6,2652963,1187845,5915,130,7
131,2,5,7,2677077,1211603,-518,131,8
132,10,6,8,2610219,1241298,6362,132,1
133,230,5,1,2667012,1241679,8896,133,1
134,2,5,0,2676364,1179729,1832,134,8
135,1,8,6,2668740,1155991,143,135,8
136,1,3,7,2602651,1190973,1287,136,9
137,2,9,2,2616071,1215839,6509,137,0
138,10,6,3,2668870,1214101,8616,138,6
139,10,6,4,2643569,1236239,6374,139,8
140,1,4,5,2690116,1241977,-167,140,0
141,10,3,6,2683556,1166788,8510,141,1
142,1,1,7,2645110,1162719,6645,142,4
143,10,6,9,2623249,1161859,166,143,2
144,3,3,4,2643498,1234064,6984,144,0
145,3,7,2,2644998,1161099,2393,145,3
146,1,9,2,2614551,1243317,5802,146,5
147,10,7,8,2613054,1159113,5165,147,6
148,10,9,1,2627684,1231171,1327,148,5
149,1,1,3,2696341,1247424,8563,149,9
150,230,1,7,2670579,1201780,8050,150,9
151,2,2,0,2605097,1193355,7477,151,3
152,2,7,8,2674159,1157313,6604,152,2
153,1,6,5,2687814,1185716,618,153,3
154,1,6,6,2698221,1230790,3925,154,7
155,10,2,1,2600963,1167237,5837,155,0
156,2,8,0,2669328,1162617,5900,156,4
157,3,6,6,2653008,1167497,9437,157,4
158,230,5,1,2634172,1218251,-130,158,2
159,10,3,0,2669434,1242643,8049,159,9
160,10,2,0,2632579,1246041,8360,160,3
161,230,5,8,2631080,1213818,-189,161,8
162,2,3,1,2681344,1204245,4163,162,5
163,1,4,9,2641300,1169970,3838,163,1
164,10,4,7,2673235,1212474,6243,164,2
165,10,3,2,2670503,1200731,8888,165,6
166,10,1,6,2683599,1217625,4581,166,4
167,2,7,1,2648034,1239061,4178,167,9
168,1,0,9,2619267,1210777,-673,168,8
169,230,2,4,2633392,1211497,7359,169,3
170,3,9,8,2603635,1240904,6287,170,0
171,1,0,9,2668157,1206741,7425,171,9
172,1,0,7,2635608,1216363,6177,172,4
173,10,9,0,2615380,1231480,6890,173,6
174,10,3,8,2618443,1156526,929,174,0
175,10,6,5,2642543,1159658,8622,175,9
176,3,4,3,2641327,1191611,7511,176,4
177,10,0,3,2635689,1210051,5693,177,4
178,1,7,2,2672065,1212359,1100,178,4
179,10,7,0,2696500,1219714,8579,179,7
180,1,3,2,2645168,1163230,8818,180,7
181,10,2,0,2612660,1183170,1330,181,9
182,1,2,4,2601768,1240355,2734,182,4
183,1,5,3,2610006,1158104,188,183,4
184,1,6,4,2696205,1231843,6224,184,7
185,230,8,9,2613629,1212327,4644,185,4
186,1,3,9,2634668,1220067,3065,186,5
187,2,7,1,2627397,1197370,4651,187,4
188,10,1,4,2696061,1177487,8308,188,0
189,2,9,6,2617314,1210907,7390,189,7
190,1,7,8,2616307,1213883,9674,190,6
191,2,7,9,2656497,1240583,8644,191,6
192,1,5,3,2667597,1209487,4638,192,7
193,1,3,1,2636219,1164861,65,193,6
194,3,2,7,2673577,1172151,6629,194,6
195,10,1,8,2604961,1181028,6807,195,2
196,10,9,0,2611065,1229941,4982,196,8
197,2,9,6,2630282,1150634,2857,197,1
198,10,8,5,2646920,1177353,776,198,3
199,10,4,8,2670496,1241919,8660,199,1
200,1,8,2,2649311,1161236,4591,200,4
201,2,1,4,2605296,1187238,7336,201,0
202,3,4,9,2614989,1218144,2104,202,7
203,3,0,8,2688772,1163644,7130,203,1
204,10,8,1,2674234,1169506,2069,204,5
205,2,6,8,2661205,1161830,-514,205,6
206,1,2,0,2621452,1216667,4411,206,7
207,230,8,1,2680869,1154718,1871,207,3
208,10,8,1,2612665,1177902,5744,208,0
209,230,2,6,2613256,1155288,3165,209,9
210,3,2,9,2690125,1247226,-20,210,3
211,3,1,7,2684858,1234471,1326,211,8
212,1,7,1,2636411,1174414,6757,212,0
213,3,2,7,2673559,1212397,2507,213,1
214,3,4,0,2674257,1221171,7983,214,7
215,2,9,2,2693335,1214662,9288,215,4
216,3,7,9,2625647,1212817,7366,216,4
217,230,8,1,2648153,1201316,4290,217,0
218,1,3,8,2646191,1240910,9100,218,4
219,3,9,4,2612468,1201050,7062,219,5
220,230,5,9,2657761,1217744,5666,220,0
221,2,2,8,2605378,1175947,3038,221,6
222,230,5,3,2617967,1161503,8058,222,5
223,3,0,3,2624628,1178518,235,223,0
224,230,2,1,2659321,1218386,-538,224,8
225,10,3,4,2643446,1210593,7857,225,8
226,230,6,6,2638522,1187914,6307,226,6
227,10,9,9,2682375,1156515,-301,227,3
228,2,3,1,2690126,1203220,694,228,5
229,3,1,7,2648956,1187824,6708,229,9
230,2,1,0,2664607,1237011,8875,230,3
231,2,0,5,2670549,1205398,7169,231,3
232,3,0,1,2678501,1216914,-691,232,7
233,1,2,9,2678907,1168489,7287,233,5
234,3,1,8,2654190,1239974,9094,234,2
235,1,0,1,2669711,1156621,7449,235,3
236,10,5,6,2652578,1222096,-943,236,7
237,1,0,6,2627773,1221210,3027,237,6
238,1,9,8,2690450,1226774,2632,238,0
239,10,7,6,2605612,1231293,-340,239,1
240,2,1,7,2628055,1199915,5443,240,4
241,230,9,6,2651602,1151167,4149,241,8
242,10,6,3,2680414,1163751,5931,242,3
243,3,3,8,2693401,1233224,3976,243,6
244,2,1,1,2629320,1241640,-805,244,3
245,1,8,9,2609004,1188708,1494,245,6
246,2,0,7,2678690,1188509,-368,246,1
247,3,8,2,2615722,1163254,2026,247,0
248,2,7,0,2688669,1241568,9097,248,0
249,3,4,6,2652235,1197204,9004,249,0
250,230,6,6,2609161,1211867,2112,250,0
251,3,6,3,2622260,1240495,9758,251,6
252,1,2,9,2629436,1178959,5183,252,2
253,10,8,3,2617161,1247925,4880,253,8
254,2,7,4,2682705,1176347,7265,254,9
255,3,4,3,2606814,1189102,7511,255,2
256,1,6,6,2604072,1240602,3965,256,2
257,230,4,9,2679623,1198945,9450,257,6
258,230,6,1,2601017,1247993,9856,258,6
259,3,9,6,2674426,1240667,1292,259,0
260,10,7,0,2661907,1199173,8535,260,7
261,10,2,5,2637207,1222446,6521,261,7
262,1,4,0,2608633,1226058,-11,262,9
263,1,8,4,2622459,1150054,8768,263,4
264,10,8,4,2658162,1154197,-752,264,7
265,1,4,3,2653120,1211459,8675,265,6
266,10,9,6,2604402,1228724,5412,266,6
267,10,7,8,2622585,1168769,-511,267,1
268,230,9,8,2686712,1182649,6795,268,8
269,3,9,3,2667066,1223189,2708,269,1
270,3,7,9,2601262,1195032,9820,270,0
271,1,5,5,2646428,1150527,-948,271,8
272,1,3,1,2681959,1181286,1689,272,9
273,2,9,9,2695857,1219665,5050,273,4
274,1,7,8,2603404,1154263,4148,274,0
275,1,4,3,2651327,1224071,8858,275,1
276,10,7,3,2683971,1154622,7620,276,0
277,2,9,3,2630648,1244057,8359,277,9
278,2,4,3,2681679,1236515,556,278,5
279,1,1,3,2676180,1216477,8964,279,4
280,1,7,1,2635050,1225101,2658,280,6
281,10,3,1,2685305,1177581,9063,281,2
282,1,6,7,2688192,1178522,7689,282,9
283,10,9,3,2625051,1182268,4565,283,4
284,3,6,8,2627652,1181642,-502,284,9
285,2,9,5,2671387,1193275,8584,285,1
286,3,2,6,2650619,1179565,-448,286,2
287,10,8,2,2678785,1207284,-459,287,6
288,230,5,0,2687186,1156007,8678,288,7
289,10,1,2,2616478,1213621,6317,289,0
290,230,3,8,2643961,1239359,3612,290,8
291,3,4,4,2673530,1198600,6885,291,1
292,3,9,5,2604583,1215998,-7,292,0
293,10,2,5,2639259,1197968,2115,293,6
294,1,8,7,2671848,1182915,9073,294,6
295,10,2,4,2653233,1221521,-559,295,3
296,1,6,5,2649442,1183239,9628,296,2
297,230,3,9,2684977,1177511,1042,297,6
298,230,1,3,2602805,1156876,1889,298,4
299,230,5,7,2601116,1242155,5744,299,3
300,2,4,5,2676665,1156890,-825,300,4
301,3,0,8,2665496,1218928,9672,301,2
302,1,6,2,2641291,1168667,6041,302,8
303,2,1,9,2693657,1221276,1423,303,5
304,10,9,6,2616129,1156701,8331,304,6
305,2,5,4,2602516,1198271,8626,305,1
306,2,3,1,2614232,1220224,1979,306,8
307,1,4,0,2658569,1158550,1208,307,6
308,3,8,0,2665402,1162638,5552,308,7
309,1,4,0,2609269,1162870,9436,309,5
310,3,8,9,2651912,1246797,302,310,3
311,230,1,2,2656029,1223029,7430,311,2
312,230,0,0,2605131,1228745,6630,312,3
313,10,1,3,2643430,1175141,9508,313,7
314,3,3,1,2683869,1183217,5060,314,9
315,3,4,0,2687542,1195672,-556,315,1
316,2,2,2,2608502,1163033,4826,316,7
317,2,1,6,2676300,1189776,5727,317,7
318,2,7,5,2630379,1209371,2519,318,4
319,1,0,9,2639994,1196827,119,319,4
320,10,2,4,2687287,1152610,891,320,5
321,230,7,1,2681586,1228478,2946,321,8
322,230,8,7,2604143,1213580,5253,322,9
323,2,9,4,2693836,1181533,5877,323,0
324,230,5,1,2693682,1152797,6649,324,3
325,2,9,5,2602775,1156910,8870,325,8
326,2,2,9,2683964,1181991,7177,326,6
327,10,2,4,2624011,1175684,6115,327,5
328,230,6,3,2688882,1193349,6576,328,3
329,230,6,0,2688045,1221525,501,329,6
330,10,5,6,2693115,1241204,7397,330,4
331,3,3,7,2644996,1158012,1579,331,7
332,10,9,9,2600720,1225926,6009,332,6
333,2,8,4,2620400,1239743,-743,333,3
334,3,4,5,2654072,1167051,4850,334,8
335,3,7,1,2667934,1160142,7571,335,8
336,3,5,1,2675352,1170992,1721,336,3
337,2,7,8,2629243,1203748,4583,337,2
338,1,0,2,2679189,1244929,388,338,7
339,10,9,4,2641467,1230625,-944,339,3
340,1,0,0,2684228,1172109,9770,340,0
341,10,1,2,2641490,1165254,9300,341,7
342,230,7,9,2668639,1238184,5909,342,4
343,1,5,8,2619628,1151807,8247,343,1
344,10,0,4,2666092,1220934,8045,344,6
345,2,4,9,2695623,1192538,5118,345,1
346,1,5,1,2665338,1210014,2263,346,6
347,230,1,5,2653524,1195680,7707,347,4
348,3,7,7,2678154,1161530,7044,348,7
349,3,6,6,2615948,1175566,5075,349,2
350,2,8,5,2660702,1240716,7623,350,4
351,3,4,1,2666536,1212168,3371,351,6
352,2,9,6,2688088,1192743,3841,352,5
353,2,5,8,2695688,1249391,7293,353,1
354,230,2,9,2628964,1244934,9311,354,9
355,230,4,4,2661191,1162559,389,355,1
356,3,5,5,2634740,1204340,-673,356,8
357,1,7,5,2613806,1157045,4936,357,6
358,10,0,6,2653803,1157855,9681,358,2
359,2,6,3,2614254,1196735,823,359,5
360,1,6,0,2680581,1214207,7115,360,1
361,10,0,7,2638303,1230990,-810,361,5
362,230,2,7,2673557,1170501,5318,362,8
363,10,7,3,2604090,1201441,8322,363,8
364,2,8,4,2642178,1226853,-227,364,9
365,230,9,1,2620066,1224289,3668,365,3
366,230,5,3,2678760,1210874,3442,366,8
367,10,6,9,2664588,1189663,2761,367,6
368,10,4,8,2606827,1234376,8642,368,9
369,2,2,4,2671992,1195131,1877,369,6
370,10,8,7,2660192,1162468,7074,370,8
371,1,8,2,2639952,1196033,6767,371,5
372,1,5,5,2677012,1221168,3262,372,6
373,2,4,9,2600386,1155314,616,373,3
374,2,3,2,2630155,1169629,-634,374,5
375,3,4,5,2695756,1245380,142,375,8
376,2,7,5,2611355,1203923,7924,376,6
377,2,2,8,2653458,1194134,7518,377,1
378,230,0,4,2643927,1226910,1592,378,7
379,2,2,2,2625450,1224023,7797,379,2
380,230,2,9,2679440,1241326,4321,380,9
381,10,4,6,2639781,1159678,-478,381,8
382,3,7,9,2684664,1185814,4978,382,6
383,230,0,2,2639669,1213812,-111,383,7
384,2,5,9,2640276,1164359,834,384,5
385,3,2,6,2638366,1246379,3132,385,3
386,10,7,7,2601280,1198787,5222,386,2
387,230,0,1,2678202,1184992,5797,387,8
388,230,0,8,2696519,1204412,35,388,1
389,230,0,3,2651630,1203261,4474,389,4
390,230,8,7,2654307,1189171,7886,390,9
391,3,5,0,2647307,1212118,7519,391,5
392,10,6,6,2613757,1151817,7626,392,7
393,10,2,2,2680987,1158866,8983,393,2
394,230,7,5,2632554,1244204,5465,394,3
395,2,6,6,2674165,1158121,5824,395,3
396,1,3,5,2612691,1163454,969,396,2
397,10,9,9,2619920,1249657,8320,397,0
398,10,6,0,2653246,1215688,24,398,0
399,10,9,9,2626454,1198360,963,399,6
400,1,8,8,2665781,1242214,3869,400,4
401,10,7,9,2644866,1245011,5095,401,3
402,230,6,1,2651020,1242336,-713,402,8
403,230,6,7,2627580,1155445,2281,403,3
404,230,0,3,2689565,1187412,302,404,0
405,1,4,2,2632504,1247338,5012,405,5
406,10,0,8,2653629,1209866,7527,406,7
407,10,5,0,2626950,1203534,985,407,1
408,2,0,2,2624225,1217962,6350,408,3
409,230,6,5,2669559,1176086,3426,409,7
410,230,9,8,2664646,1248118,-456,410,6
411,10,6,8,2641121,1247325,1441,411,3
412,3,2,9,2690334,1156969,3473,412,2
413,1,2,5,2606103,1187573,6923,413,7
414,3,7,0,2612643,1239017,89,414,0
415,10,4,5,2603050,1198767,8222,415,9
416,230,2,7,2688357,1189286,3600,416,3
417,1,0,0,2611471,1205548,4542,417,5
418,2,9,1,2653885,1183773,2090,418,6
419,2,8,7,2694840,1242519,460,419,1
420,1,1,2,2637811,1229876,12,420,7
421,3,8,1,2613346,1171180,5990,421,2
422,2,9,9,2680483,1182252,2124,422,5
423,10,7,7,2610346,1237481,-456,423,1
424,1,0,0,2685852,1155055,1053,424,9
425,10,9,4,2652536,1211849,3137,425,3
426,1,3,9,2600715,1158811,6080,426,7
427,10,7,9,2677995,1172681,5688,427,1
428,10,9,3,2666791,1179655,5006,428,1
429,2,4,0,2678542,1153278,2427,429,5
430,2,0,6,2635170,1168642,6722,430,7
431,230,5,3,2676972,1157185,9305,431,2
432,3,1,4,2647515,1166690,9553,432,0
433,2,1,3,2652319,1178622,469,433,6
434,10,9,2,2659099,1222870,3220,434,6
435,1,2,3,2640015,1216103,5637,435,2
436,10,3,6,2650777,1191623,2675,436,1
437,2,6,0,2618467,1150847,4709,437,1
438,230,4,4,2609635,1152367,6932,438,5
439,3,9,9,2648560,1242168,5667,439,7
440,1,8,6,2612091,1160475,4965,440,1
441,10,0,4,2691059,1217377,8726,441,0
442,230,0,8,2690480,1195719,2281,442,7
443,10,0,3,2688827,1177625,3064,443,7
444,3,2,7,2618092,1171670,3544,444,4
445,230,4,2,2636271,1189720,489,445,6
446,230,7,0,2686027,1199557,2508,446,8
447,3,3,6,2674520,1176525,159,447,9
448,230,8,2,2632331,1215526,4938,448,1
449,230,0,0,2625946,1185208,6041,449,0
450,1,4,2,2659220,1173278,7805,450,2
451,1,5,7,2633458,1246054,8034,451,6
452,2,8,0,2674095,1231214,9235,452,7
453,2,5,1,2678146,1163744,1725,453,4
454,3,2,9,2681706,1212538,7341,454,8
455,2,4,4,2610180,1227096,2601,455,3
456,230,6,1,2664485,1229934,2840,456,9
457,3,3,0,2632422,1208967,6028,457,0
458,1,2,2,2686435,1204874,7418,458,2
459,230,5,7,2620760,1164965,9166,459,3
460,2,9,5,2675107,1219439,5694,460,8
461,230,3,7,2653497,1191319,2822,461,5
462,2,9,6,2674662,1222693,3675,462,0
463,2,7,5,2644687,1151236,2390,463,4
464,2,7,1,2698536,1200111,9620,464,8
465,1,5,4,2670621,1199144,42,465,1
466,1,2,7,2696313,1234973,-676,466,5
467,230,6,9,2665772,1164240,-960,467,1
468,3,1,9,2612466,1212543,7603,468,1
469,1,3,0,2619463,1205769,4708,469,3
470,10,2,4,2687259,1196797,8801,470,5
471,230,5,0,2625361,1234309,412,471,5
472,2,7,9,2629337,1156717,3761,472,2
473,3,8,4,2621586,1218435,6923,473,2
474,2,0,0,2629133,1211395,1941,474,3
475,230,8,0,2661890,1193109,7395,475,7
476,1,0,2,2638773,1247052,1294,476,2
477,1,4,1,2618235,1246833,814,477,6
478,1,7,0,2621321,1207814,9904,478,8
479,2,2,5,2676864,1190895,9395,479,3
480,3,3,9,2660325,1186494,7519,480,1
481,10,4,7,2685873,1204858,8398,481,9
482,3,3,4,2654783,1212456,5862,482,9
483,1,5,1,2620829,1201165,2746,483,2
484,10,5,1,2601481,1180876,8964,484,2
485,230,5,0,2629625,1228711,3973,485,9
486,1,8,1,2669380,1180659,2758,486,3
487,3,6,2,2636485,1243374,7813,487,6
488,2,7,2,2649742,1156228,-115,488,0
489,1,4,1,2677791,1159768,5894,489,2
490,10,1,8,2628829,1217170,4922,490,8
491,10,5,4,2609972,1163073,-73,491,8
492,10,6,9,2656932,1204168,-195,492,5
493,230,4,6,2662086,1246610,-36,493,6
494,10,3,7,2641881,1225723,894,494,4
495,10,5,1,2660172,1157990,5900,495,9
496,3,1,2,2665579,1194708,6139,496,3
497,1,9,9,2662523,1246531,9167,497,3
498,10,1,9,2610711,1206287,6357,498,4
499,10,8,0,2610942,1195922,9584,499,2
500,230,9,2,2672501,1208702,6702,500,7
501,230,0,0,2666577,1248893,5058,501,1
502,230,7,2,2674285,1237900,1075,502,1
503,2,4,9,2624131,1201451,4352,503,8
504,1,0,5,2632088,1214095,4946,504,9
505,10,9,7,2663895,1171054,4497,505,2
506,230,9,4,2665671,1156044,-428,506,8
507,3,8,1,2688079,1191460,777,507,1
508,10,5,3,2627430,1229332,7224,508,5
509,10,8,5,2684750,1217034,5060,509,3
510,1,7,7,2667794,1208975,5098,510,4
511,230,5,2,2689996,1157508,8804,511,9
512,10,3,5,2637664,1190383,7909,512,5
513,230,5,1,2668897,1169376,5683,513,7
514,10,1,5,2638862,1229293,400,514,5
515,230,2,9,2672025,1207546,6735,515,0
516,230,8,7,2657395,1175333,3762,516,1
517,1,0,9,2693907,1239147,8978,517,4
518,3,7,2,2648695,1193459,4583,518,4
519,3,3,2,2661762,1242678,242,519,7
520,230,5,8,2647599,1154957,8076,520,5
521,10,8,8,2694960,1180217,5515,521,2
522,230,8,3,2687634,1218694,7742,522,6
523,230,0,9,2677491,1224733,2231,523,0
524,2,9,7,2654951,1241490,7279,524,6
525,1,3,1,2694515,1207595,8316,525,1
526,2,3,2,2650858,1201720,-113,526,7
527,2,7,0,2640503,1166813,700,527,9
528,2,6,5,2614538,1196591,7956,528,6
529,1,5,7,2649969,1218846,3605,529,1
530,2,7,4,2640668,1170160,8597,530,3
531,3,9,9,2636691,1150693,43,531,8
532,2,1,7,2627006,1216244,1565,532,2
533,230,7,6,2683273,1180673,1485,533,5
534,10,0,9,2684265,1210307,1090,534,9
535,230,0,2,2645615,1215869,1449,535,9
536,230,8,0,2644515,1163143,9853,536,4
537,230,1,2,2671881,1217762,1989,537,5
538,2,1,0,2661744,1189879,4596,538,8
539,2,6,1,2689459,1196321,4757,539,2
540,230,9,4,2608948,1198187,7077,540,7
541,2,7,6,2669130,1168419,2231,541,0
542,230,4,9,2669642,1161756,6019,542,2
543,2,5,2,2605702,1183161,7516,543,6
544,2,1,3,2645820,1224405,1960,544,6
545,230,0,0,2691818,1177597,7985,545,1
546,230,8,3,2699977,1198562,2533,546,2
547,10,1,5,2659271,1245001,4498,547,4
548,230,4,5,2632924,1187525,1087,548,3
549,1,3,4,2687715,1224548,3543,549,4
550,1,4,0,2622530,1217174,8628,550,1
551,10,4,9,2684324,1233777,5106,551,1
552,3,4,3,2638746,1151402,7786,552,5
553,3,9,9,2690057,1161189,7574,553,9
554,1,5,0,2651892,1187969,7726,554,4
555,2,4,7,2637924,1166480,8512,555,9
556,230,5,2,2636089,1163691,3437,556,5
557,2,2,3,2679510,1150282,1396,557,6
558,10,0,2,2650941,1150264,5515,558,4
559,10,7,9,2671172,1223985,2411,559,7
560,2,7,1,2682050,1167330,968,560,4
561,1,8,2,2606416,1228348,4007,561,6
562,1,6,2,2679193,1221597,6093,562,2
563,1,3,9,2693747,1160109,-28,563,6
564,3,1,8,2666377,1190114,3288,564,6
565,10,3,5,2674295,1181677,5909,565,5
566,10,9,0,2631857,1190092,6853,566,0
567,1,4,6,2669419,1169135,-501,567,8
568,3,5,1,2618831,1249318,796,568,8
569,1,9,6,2639373,1216252,1282,569,2
570,1,3,7,2622612,1179112,-460,570,8
571,3,8,3,2698360,1247936,6634,571,3
572,1,5,5,2694998,1180007,3137,572,4
573,10,6,2,2676622,1189696,-492,573,2
574,230,1,9,2601564,1237400,6383,574,9
575,3,4,1,2655008,1159431,6851,575,9
576,10,1,3,2658981,1156664,3371,576,3
577,10,0,9,2676115,1150412,8262,577,7
578,10,3,7,2675373,1239204,6521,578,9
579,1,6,6,2612262,1205503,5785,579,8
580,230,0,0,2617192,1224528,2592,580,7
581,3,1,4,2685941,1192696,4102,581,6
582,10,9,1,2651607,1237783,890,582,3
583,230,8,4,2608588,1203583,-513,583,6
584,10,0,0,2651114,1170432,3230,584,7
585,3,4,2,2612967,1220042,4002,585,7
586,3,9,7,2673579,1186216,4109,586,3
587,2,8,5,2693018,1168598,2851,587,6
588,230,3,3,2601412,1176666,7740,588,1
589,10,9,9,2630156,1160050,7042,589,3
590,3,8,8,2612684,1244110,6557,590,6
591,1,0,3,2605216,1229342,5245,591,6
592,2,9,3,2608821,1182322,3245,592,9
593,3,3,3,2622441,1224872,-931,593,9
594,3,5,9,2605165,1155275,3452,594,5
595,2,4,4,2608551,1198273,5740,595,9
596,10,7,2,2600748,1206530,2990,596,7
597,10,8,1,2631565,1180945,1377,597,2
598,1,3,1,2693328,1161672,5509,598,9
599,1,9,1,2674944,1195545,8957,599,8
600,3,8,9,2608736,1172789,2040,600,9
601,230,5,1,2633900,1230918,2894,601,2
602,1,1,5,2672622,1170502,6882,602,4
603,1,6,6,2699853,1169193,3959,603,1
604,10,5,8,2634878,1171516,7614,604,6
605,230,9,7,2653556,1223810,1310,605,9
