HHNR,gesl,f40120,f81300,A_X,A_Y,alter,f81400,noga_08,sprache,f40800_01,f41100_01,nation,f40920,WP,f41000a,f41000b,f41000c,A_BFS,f42100e,f41600_01a,f41600_01b,f41600_01c,f41001a,f41001b,f41001c,f20400a
42,1,5,2,2661697,1244014,59,31,82,2,3,1,6,100.0,5,1,12,11,8,3,1,2,2,2,1,12,2
43,2,5,2,2636245,1174454,40,43,90,1,-99,2,0,100.0,5,2,11,3,6,3,2,2,1,32,2,13,3
44,1,5,3,2653981,1233401,67,0,86,4,3,2,3,100.0,9,12,12,3,6,2,1,2,2,1,11,2,9
45,2,8,2,2657102,1170742,28,18,8,3,-99,2,1,100.0,7,11,2,2,4,2,2,2,1,3,3,3,4
46,1,9,3,2697092,1184393,38,0,66,4,2,1,8,100.0,0,13,1,2,9,2,1,2,2,13,3,32,5
47,1,6,3,2687213,1155551,26,0,2,3,4,1,3,100.0,0,11,12,11,9,3,1,1,1,3,2,2,2
48,1,5,3,2688609,1169685,24,0,87,2,4,2,5,100.0,5,13,32,11,9,1,1,1,2,3,11,13,7
49,2,9,1,2611048,1163619,80,19,65,3,3,1,7,100.0,9,1,22,32,7,2,2,1,2,1,12,32,2
50,1,1,3,2666855,1216983,23,0,88,2,3,2,7,100.0,2,11,11,32,5,3,2,1,2,12,2,2,4
51,2,7,2,2611368,1213237,33,7,51,3,5,2,1,100.0,7,1,22,11,4,3,1,2,1,32,1,11,7
52,2,6,1,2643974,1232672,57,27,99,3,5,3,2,100.0,6,32,2,12,1,1,2,2,2,13,12,3,7
53,1,7,2,2664496,1199920,65,71,92,3,-99,3,7,100.0,2,11,32,11,8,1,2,1,1,1,32,3,8
54,1,1,3,2698722,1244865,14,0,10,2,3,2,4,100.0,1,13,11,32,8,3,1,2,1,32,22,11,6
55,2,2,2,2629813,1156053,58,33,94,4,5,1,4,100.0,4,3,22,12,3,3,2,2,1,2,11,32,9
56,2,4,3,2604211,1181896,24,0,56,4,-99,2,5,100.0,1,12,32,22,6,3,2,1,2,2,11,2,1
57,1,2,3,2622416,1185654,38,0,69,4,1,2,4,100.0,5,3,1,3,2,1,2,2,2,2,22,1,2
58,2,1,3,2631677,1164487,89,0,59,4,-99,2,7,100.0,8,3,22,2,0,3,2,2,2,22,2,32,2
59,1,7,3,2688121,1185692,10,0,95,3,4,2,9,100.0,1,12,3,3,4,1,2,1,2,12,1,2,7
60,2,1,2,2669271,1230224,19,96,9,1,2,2,3,100.0,7,32,11,13,0,1,2,2,1,32,22,32,5
61,1,6,2,2605751,1151235,78,11,91,1,5,2,1,100.0,6,32,1,13,0,3,2,1,2,11,1,12,6
62,2,2,3,2681621,1215191,66,0,2,3,1,2,5,100.0,7,13,2,11,9,3,1,2,1,22,13,3,2
63,2,2,3,2638439,1215664,67,0,97,4,1,2,9,100.0,5,22,12,13,4,1,2,2,1,12,2,3,2
64,1,8,3,2627620,1164168,84,0,68,2,1,3,3,100.0,1,2,1,1,7,1,1,2,1,2,1,1,5
65,1,6,2,2664335,1231798,80,80,10,1,4,2,7,100.0,2,32,1,13,4,1,2,2,1,2,11,2,9
66,1,9,3,2658940,1244745,88,0,10,1,-99,2,7,100.0,0,32,12,3,8,1,1,1,1,1,3,22,8
67,1,4,3,2617611,1164824,74,0,51,2,1,2,9,100.0,9,2,12,22,3,3,1,2,1,22,22,11,1
68,2,2,1,2630573,1209617,83,30,63,3,3,3,4,100.0,4,1,2,1,4,2,1,1,2,11,2,1,2
69,1,8,1,2657830,1223442,20,19,10,3,-99,1,6,100.0,4,1,1,3,3,1,2,1,2,22,12,32,5
70,1,8,1,2687771,1237603,64,72,1,3,3,2,0,100.0,6,2,22,32,3,3,2,2,2,11,2,3,8
71,2,2,1,2691442,1227703,82,85,88,1,5,2,9,100.0,0,2,32,11,6,3,2,1,2,2,13,13,4
72,2,4,2,2660736,1194139,57,46,67,2,1,2,9,100.0,2,11,1,2,3,3,1,1,1,22,22,11,0
73,2,7,1,2658229,1182712,12,30,6,4,5,2,1,100.0,1,11,13,2,7,1,2,2,1,3,13,32,8
74,1,8,3,2611063,1155090,45,0,55,1,-99,1,8,100.0,8,13,13,12,7,3,1,2,2,12,11,11,9
75,1,3,2,2644888,1205924,84,40,82,3,5,1,3,100.0,3,11,3,13,7,2,2,1,2,2,22,2,6
76,2,9,1,2651367,1225259,89,2,59,4,3,3,1,100.0,0,13,32,12,5,2,2,1,1,32,2,1,0
77,2,5,1,2610048,1244137,65,57,63,4,4,1,7,100.0,5,1,32,3,8,2,2,1,2,22,12,32,6
78,1,5,2,2644269,1170895,20,79,2,2,3,3,7,100.0,2,3,11,13,1,3,1,1,2,32,13,3,6
79,2,7,2,2616704,1177824,46,52,89,1,-99,3,4,100.0,9,32,32,12,3,3,2,1,2,11,2,32,8
80,1,8,1,2614376,1196144,38,27,42,1,1,2,0,100.0,3,22,12,11,8,2,1,1,1,11,22,12,3
81,1,6,1,2647789,1239025,24,92,35,2,-99,3,4,100.0,2,11,22,1,6,2,2,1,1,32,2,1,2
82,1,6,3,2696381,1165564,60,0,53,1,5,2,8,100.0,0,13,12,22,5,1,1,1,2,2,12,12,2
83,1,9,1,2603347,1155173,15,0,14,4,5,3,6,100.0,1,1,3,22,5,1,1,1,1,32,22,13,9
84,1,8,2,2632402,1182798,29,62,95,3,4,3,7,100.0,1,32,2,11,1,2,2,1,1,12,3,1,1
85,2,4,3,2662393,1170783,84,0,5,1,1,3,0,100.0,0,2,32,1,4,1,2,1,2,22,3,12,2
86,2,5,1,2691489,1215367,36,67,51,1,5,1,1,100.0,5,32,3,32,5,1,2,2,1,2,12,1,7
87,1,7,1,2636480,1152039,77,42,68,2,4,3,8,100.0,9,11,3,3,5,1,2,1,2,32,2,3,1
88,1,1,2,2699830,1220845,66,18,64,4,3,3,2,100.0,9,22,1,22,0,3,1,2,2,13,12,13,3
89,1,1,2,2675542,1198747,34,88,42,2,1,3,1,100.0,9,11,11,32,0,1,1,2,2,1,11,32,8
90,2,4,1,2672516,1179223,83,89,91,1,5,1,1,100.0,8,2,22,3,1,1,1,1,2,1,12,3,6
91,2,2,3,2650398,1217350,88,0,92,1,5,1,5,100.0,0,32,3,13,0,3,1,1,2,13,22,22,4
92,2,7,2,2628098,1231464,21,37,55,3,5,3,5,100.0,6,11,2,13,3,3,1,2,1,22,13,22,8
93,2,4,2,2606856,1192730,69,28,96,4,5,1,1,100.0,6,12,13,13,2,3,1,1,2,22,1,12,7
94,2,3,2,2630130,1194108,11,81,68,4,2,3,1,100.0,0,2,1,2,0,2,1,2,2,2,22,12,1
95,1,6,1,2667137,1166448,12,59,50,3,2,2,7,100.0,9,13,2,13,7,2,2,2,1,3,13,13,0
96,2,1,2,2634770,1196217,18,36,84,1,3,2,3,100.0,0,2,22,3,6,1,1,1,2,2,12,1,6
97,2,6,2,2687538,1236312,18,72,84,2,1,2,3,100.0,5,22,12,1,3,1,2,2,2,12,1,12,2
98,1,4,2,2612137,1218187,32,88,11,4,5,2,6,100.0,1,11,22,13,2,3,2,2,1,11,12,13,1
99,2,8,1,2665463,1217110,48,76,89,2,3,1,1,100.0,2,1,12,2,9,1,1,1,1,12,22,3,2
100,2,7,1,2695505,1194318,45,99,51,4,1,3,4,100.0,9,13,13,2,0,3,2,2,2,2,32,2,4
101,2,1,3,2633432,1242252,76,0,53,4,3,2,5,100.0,0,3,1,12,4,2,2,1,2,3,22,13,3
102,2,5,2,2644094,1172060,32,85,1,2,5,3,1,100.0,5,11,2,13,6,3,1,1,1,13,1,2,8
103,2,3,3,2603595,1215320,31,0,51,4,5,1,3,100.0,5,11,22,12,9,2,1,2,1,12,11,12,4
104,1,8,1,2636720,1181352,86,21,91,1,3,1,3,100.0,9,11,12,12,8,3,1,1,2,11,11,3,3
105,2,9,1,2695358,1194586,65,100,61,3,4,2,6,100.0,6,1,12,3,4,3,1,1,2,11,3,2,9
106,2,3,2,2607883,1227999,66,24,10,3,1,2,6,100.0,0,22,32,3,0,3,1,1,1,13,12,22,1
107,1,7,3,2662973,1167198,16,0,60,4,4,2,0,100.0,2,22,13,1,1,2,2,1,2,13,22,13,4
108,2,9,1,2680123,1230664,56,42,96,1,3,3,6,100.0,1,32,11,3,2,2,1,1,1,2,3,12,4
109,1,4,3,2604903,1177123,73,0,62,3,5,3,7,100.0,9,22,12,12,4,3,2,1,2,2,12,12,9
110,1,6,3,2655778,1241649,62,0,61,3,2,1,2,100.0,4,1,3,2,8,1,2,2,1,2,12,1,2
111,1,1,1,2662074,1154140,81,3,41,2,2,3,8,100.0,7,3,13,32,8,1,2,1,2,13,13,2,0
112,2,7,3,2630252,1245327,64,0,59,3,-99,2,1,100.0,2,13,1,12,0,3,1,1,2,11,2,12,5
113,2,1,3,2679888,1181626,56,0,97,1,-99,2,1,100.0,7,3,12,12,8,3,2,1,2,22,32,1,1
114,1,2,1,2664825,1158805,26,23,55,2,3,2,2,100.0,1,11,3,2,1,3,1,2,1,1,13,13,0
115,2,3,3,2699294,1248926,87,0,46,3,2,2,9,100.0,0,2,32,32,2,3,2,2,1,11,22,12,0
116,2,4,2,2676562,1171355,16,50,64,2,3,1,1,100.0,3,11,11,32,2,3,2,1,2,13,12,13,5
117,1,7,2,2679298,1162649,48,53,99,1,3,2,4,100.0,7,22,11,22,1,1,2,2,2,2,13,12,3
118,2,5,2,2687376,1216172,36,74,42,3,2,1,5,100.0,6,3,3,12,2,1,1,2,1,2,12,32,7
119,2,1,2,2606530,1228335,37,7,45,1,-99,1,5,100.0,4,1,1,12,3,1,1,1,1,2,13,2,3
120,1,7,1,2647624,1187817,78,70,67,4,4,1,9,100.0,6,3,1,32,3,1,1,2,2,32,32,11,8
121,2,6,2,2688983,1191024,67,98,58,4,-99,1,5,100.0,2,11,3,11,2,3,2,2,1,11,13,3,9
122,1,5,1,2610693,1201401,12,99,43,1,1,1,3,100.0,6,32,13,3,8,2,2,2,1,1,1,11,7
123,2,3,3,2680270,1154654,43,0,8,4,1,1,7,100.0,6,13,22,1,1,2,1,2,1,3,12,11,2
124,2,3,2,2675576,1221181,55,53,41,1,1,1,6,100.0,8,13,1,3,4,3,2,1,1,12,2,11,9
125,2,9,2,2613066,1233302,50,13,63,1,2,3,5,100.0,1,2,1,13,7,1,1,2,2,1,2,32,1
126,1,7,3,2603590,1201954,21,0,11,2,4,2,2,100.0,5,32,32,2,6,2,2,2,2,11,11,22,6
127,2,3,1,2658852,1220811,86,11,50,1,4,2,4,100.0,1,1,2,13,6,2,1,1,1,22,22,1,2
128,1,2,1,2689572,1193781,70,91,56,4,-99,1,9,100.0,5,13,22,13,5,1,2,1,1,11,12,11,1
129,2,6,2,2671194,1206556,65,64,61,3,3,3,6,100.0,9,12,22,3,0,3,2,1,2,22,13,22,1
130,1,9,1,2614102,1232282,36,82,2,3,4,2,1,100.0,1,32,22,12,6,3,1,2,2,3,2,32,8
131,1,2,3,2683730,1213322,29,0,82,1,1,2,0,100.0,3,1,11,13,3,2,1,2,2,13,1,2,3
132,2,1,2,2657670,1166012,11,84,63,4,4,3,4,100.0,0,2,12,1,9,2,2,2,1,2,11,32,0
133,2,2,2,2621893,1179685,84,79,52,3,-99,2,6,100.0,4,1,13,13,8,3,1,2,2,2,12,13,8
134,1,4,1,2692315,1202936,36,76,87,1,1,2,4,100.0,9,1,32,11,3,3,1,1,2,13,12,3,3
135,2,5,1,2658568,1229447,19,34,60,2,-99,2,5,100.0,0,1,3,2,8,2,2,1,1,3,13,22,7
136,2,6,3,2642238,1198953,66,0,86,3,4,1,5,100.0,4,13,1,13,2,1,2,1,1,32,12,1,0
137,2,9,1,2627528,1187264,28,98,4,1,5,3,8,100.0,1,13,22,3,7,2,2,2,1,2,11,3,4
138,1,8,3,2647589,1192584,30,0,91,3,1,2,3,100.0,8,22,13,3,7,2,1,2,1,2,13,13,7
139,1,6,3,2641541,1249616,60,0,69,2,4,3,2,100.0,1,22,3,13,6,1,2,2,1,3,22,1,5
140,2,2,2,2680336,1172225,54,39,45,1,5,3,7,100.0,2,3,13,22,6,2,2,2,1,22,12,12,1
141,1,5,1,2646586,1164486,66,89,68,3,2,3,8,100.0,0,13,11,22,5,3,2,2,2,11,3,2,8
142,1,8,2,2693298,1247511,51,37,68,2,3,3,6,100.0,9,22,12,2,5,2,2,1,2,11,2,11,5
143,1,6,1,2614290,1245185,45,58,13,3,3,2,4,100.0,6,22,11,2,7,2,2,2,2,11,11,12,4
144,1,7,3,2680248,1192144,64,0,99,4,1,2,2,100.0,4,13,12,13,5,2,2,1,1,2,12,12,4
145,1,5,2,2648322,1160667,52,28,6,3,5,1,9,100.0,3,1,12,3,9,3,1,1,1,22,3,3,9
146,2,7,1,2631205,1209203,22,84,64,2,4,2,4,100.0,8,2,2,12,0,3,1,2,2,1,13,12,4
147,1,6,2,2667225,1209606,33,48,8,4,5,1,7,100.0,4,1,1,11,3,1,2,2,2,13,12,32,8
148,2,8,3,2677611,1210924,72,0,10,1,4,2,9,100.0,3,1,32,12,2,1,2,1,2,2,2,2,0
149,1,8,1,2638608,1206313,72,0,65,4,-99,2,3,100.0,3,22,2,1,3,2,1,2,2,32,13,11,7
150,1,3,3,2683595,1180122,61,0,88,4,-99,3,0,100.0,0,13,3,11,8,3,2,2,2,13,32,32,2
151,1,8,1,2641999,1174359,56,48,51,2,2,2,0,100.0,4,3,13,3,1,1,2,1,2,3,3,12,2
152,2,7,1,2670041,1213099,43,62,42,2,4,3,9,100.0,1,22,1,32,5,1,2,1,2,12,1,1,1
153,1,8,3,2679836,1181636,72,0,43,2,5,1,8,100.0,5,3,13,11,9,3,1,2,2,12,2,2,9
154,1,6,1,2687487,1238917,40,99,49,3,3,2,2,100.0,7,1,22,32,5,2,2,1,1,2,11,1,6
155,1,5,2,2600073,1230614,62,26,68,2,3,3,9,100.0,0,32,11,12,6,2,1,2,1,13,22,2,3
156,1,5,1,2678322,1179946,87,54,85,4,-99,3,5,100.0,9,2,12,12,7,1,2,2,2,13,11,13,4
157,2,3,3,2631050,1160271,42,0,14,2,2,3,4,100.0,0,12,32,1,2,1,1,2,2,22,1,2,0
158,2,2,3,2619634,1193775,19,0,56,1,2,1,4,100.0,0,3,1,22,2,1,2,2,2,13,12,2,2
159,1,3,1,2682707,1174492,61,60,99,4,4,2,2,100.0,0,3,32,1,3,2,1,1,2,2,22,2,3
160,1,4,2,2659988,1211982,83,76,69,1,2,2,9,100.0,3,1,32,22,9,1,2,2,1,3,32,12,5
161,1,1,2,2627564,1150293,56,36,94,4,3,2,4,100.0,4,3,22,12,1,1,1,2,2,11,2,13,4
162,2,6,2,2670771,1179095,62,31,98,3,5,3,0,100.0,6,22,3,3,0,2,2,1,1,3,22,11,1
163,2,3,1,2662292,1185518,14,75,46,3,2,3,6,100.0,5,13,1,2,0,2,1,1,2,2,1,13,4
164,1,8,2,2655521,1162810,86,34,3,4,2,1,5,100.0,1,3,32,3,1,1,2,2,2,32,13,13,2
165,2,5,2,2675527,1200286,56,68,63,1,2,2,4,100.0,6,32,22,11,8,3,2,2,1,12,1,11,9
166,2,9,3,2671692,1221092,42,0,93,3,1,2,2,100.0,5,32,13,13,6,3,1,1,1,3,11,1,7
167,2,3,3,2603235,1214947,75,0,7,4,1,3,9,100.0,2,12,12,32,9,2,2,2,2,22,11,12,2
168,2,9,2,2646725,1187740,80,10,64,1,3,2,4,100.0,4,22,2,2,9,3,1,2,1,13,3,11,5
169,1,6,2,2617984,1161444,19,50,11,1,1,3,6,100.0,5,3,22,32,4,1,2,2,1,22,11,12,8
170,1,5,2,2609554,1224462,12,51,98,3,5,2,8,100.0,5,13,32,3,9,1,2,1,1,1,1,1,4
171,1,7,1,2648795,1231587,15,70,66,3,2,1,0,100.0,2,2,32,2,2,2,2,2,1,12,11,22,9
172,1,7,3,2634775,1181793,18,0,5,2,1,2,0,100.0,0,32,32,13,0,1,1,2,2,11,13,11,8
173,1,9,3,2605860,1235435,47,0,85,4,-99,1,1,100.0,4,22,32,2,2,3,1,2,2,2,11,2,9
174,1,9,2,2691367,1195047,47,18,95,3,1,1,3,100.0,4,1,2,3,5,3,2,1,2,22,13,3,8
175,2,8,2,2654808,1231818,36,28,82,4,2,2,7,100.0,8,1,3,22,6,2,1,2,1,3,11,11,2
176,2,3,1,2688905,1171546,20,45,87,2,-99,3,7,100.0,7,32,1,13,0,2,2,2,2,2,32,2,9
177,1,5,3,2652209,1177329,34,0,59,2,4,1,0,100.0,0,32,1,11,8,1,2,1,2,22,3,1,1
178,2,4,1,2651337,1170225,60,16,87,4,2,2,2,100.0,9,12,1,2,1,3,2,1,1,2,3,3,8
179,1,5,1,2656965,1244186,12,35,87,3,3,1,5,100.0,7,2,2,22,2,2,1,2,1,2,13,12,1
180,1,5,1,2625580,1243230,39,38,68,4,2,3,1,100.0,6,1,2,13,3,3,1,2,2,13,3,3,7
181,1,8,3,2649108,1169050,54,0,88,3,2,2,7,100.0,9,12,2,22,6,2,2,1,1,1,22,2,5
182,1,6,1,2662889,1177085,64,38,89,3,1,1,8,100.0,3,11,2,32,2,2,2,1,1,1,12,3,9
183,2,8,3,2660761,1205200,82,0,86,1,1,3,3,100.0,2,11,32,32,6,2,2,1,2,11,11,32,1
184,2,2,2,2603276,1206621,21,58,63,4,5,3,6,100.0,6,12,2,2,2,2,2,1,1,32,32,32,0
185,1,1,3,2634316,1177223,17,0,99,4,5,3,0,100.0,7,2,12,3,6,1,2,1,2,2,1,12,5
186,2,4,3,2608273,1226018,37,0,86,4,4,3,1,100.0,1,22,1,12,6,2,2,1,1,32,32,1,2
187,2,6,3,2661102,1189153,38,0,84,1,4,2,0,100.0,1,2,32,11,3,1,2,1,2,13,1,22,7
188,2,5,1,2674353,1235157,26,9,46,4,2,3,1,100.0,2,13,2,12,6,1,2,1,2,12,12,2,4
189,1,9,1,2683692,1231057,42,16,69,1,5,2,1,100.0,4,2,3,2,9,3,2,1,2,1,11,3,1
190,1,6,1,2652863,1241114,36,45,2,2,5,2,2,100.0,5,22,32,11,3,2,1,1,2,22,13,12,4
191,1,4,1,2640419,1245711,41,58,51,1,2,3,6,100.0,3,32,32,1,5,3,1,1,1,1,3,12,1
192,2,5,2,2618862,1218686,51,56,60,3,2,1,9,100.0,8,13,32,22,4,1,1,1,1,12,32,12,3
193,1,3,3,2631710,1208457,30,0,56,4,-99,1,8,100.0,5,3,22,12,6,3,1,1,1,13,2,11,0
194,2,1,3,2677555,1223571,43,0,1,1,2,2,9,100.0,4,13,3,3,0,2,2,2,2,32,3,22,0
195,1,3,1,2698900,1185143,28,77,46,4,5,3,8,100.0,7,12,3,32,8,2,1,1,2,1,22,13,8
196,1,8,3,2648750,1195635,26,0,90,2,2,1,8,100.0,2,1,11,1,6,3,2,2,1,12,1,2,7
197,1,9,2,2650066,1207080,60,84,41,1,5,1,1,100.0,5,1,3,3,9,2,1,2,2,1,13,32,7
198,2,2,2,2617471,1197003,63,47,52,2,2,1,7,100.0,9,13,1,13,7,2,1,1,1,1,11,12,4
199,2,1,2,2698833,1171403,74,31,68,4,-99,2,9,100.0,6,13,11,1,1,2,1,2,2,32,32,32,5
200,1,7,3,2617285,1205056,75,0,3,1,5,2,3,100.0,4,32,12,3,1,2,2,1,2,32,12,32,7
201,2,1,2,2631866,1216520,35,31,96,3,-99,1,9,100.0,7,22,32,22,9,1,1,2,2,12,11,2,7
202,2,8,2,2647120,1215055,38,46,89,3,3,3,2,100.0,2,22,13,22,8,3,2,1,2,13,11,2,7
203,1,8,3,2685156,1194881,86,0,85,4,5,2,7,100.0,0,22,1,1,0,2,1,1,1,11,32,3,9
204,1,8,1,2687319,1248039,46,64,55,4,-99,3,6,100.0,4,12,11,13,5,1,2,1,1,12,12,3,3
205,2,9,2,2603051,1191529,20,45,4,2,5,1,5,100.0,5,11,2,2,3,1,1,1,2,22,2,2,6
206,1,9,1,2621005,1157108,46,6,97,4,5,2,9,100.0,5,22,22,32,1,1,1,2,2,11,11,12,3
207,1,4,3,2673902,1218662,23,0,49,4,2,1,0,100.0,3,13,1,13,3,2,1,2,2,2,12,1,5
208,1,2,3,2607450,1200698,67,0,7,1,5,2,7,100.0,4,11,1,11,0,2,2,1,1,12,3,11,5
209,2,6,1,2635319,1235245,25,64,41,1,3,2,5,100.0,0,13,2,32,7,3,1,2,2,22,32,32,9
210,1,6,2,2620969,1167180,27,80,45,2,1,1,4,100.0,1,1,2,13,5,1,2,2,2,2,12,32,5
211,2,4,1,2602270,1181525,57,44,92,3,-99,3,4,100.0,7,12,1,32,9,3,2,2,2,12,3,11,5
212,1,1,1,2612236,1161471,23,99,56,2,1,3,8,100.0,6,1,32,12,4,2,2,2,2,13,1,32,8
213,1,2,2,2678338,1208444,70,60,12,4,-99,1,1,100.0,7,32,11,2,7,3,2,1,1,22,32,32,7
214,1,6,2,2640414,1187897,40,81,68,2,5,2,0,100.0,1,22,12,1,8,2,1,2,1,22,32,3,5
215,1,5,1,2655267,1218338,30,32,60,2,5,2,5,100.0,2,13,13,12,4,3,1,1,1,22,12,13,6
216,1,9,1,2673189,1249351,60,1,41,4,3,3,9,100.0,1,11,22,13,8,3,2,1,2,1,32,11,1
217,2,3,3,2691758,1239498,36,0,11,3,3,3,4,100.0,6,12,32,1,5,3,2,2,2,2,3,11,6
218,2,4,2,2626408,1244231,79,0,3,3,3,2,2,100.0,8,11,11,13,4,3,2,2,1,3,22,13,2
219,1,4,1,2640516,1169401,58,56,67,1,1,2,7,100.0,5,2,12,11,3,3,2,1,1,12,22,22,3
220,1,5,3,2671753,1203282,22,0,55,4,4,3,5,100.0,9,3,3,13,6,2,2,2,1,13,32,11,6
221,2,7,1,2632235,1179329,55,2,47,2,2,1,4,100.0,6,3,22,2,8,1,2,2,1,12,3,11,3
222,2,8,1,2650778,1235904,45,99,58,3,5,2,2,100.0,2,1,2,13,9,1,2,2,1,12,2,32,5
223,1,1,2,2606072,1198627,31,55,61,3,4,2,9,100.0,4,2,11,22,8,3,1,1,2,1,32,11,8
224,1,4,1,2694512,1206831,63,22,8,2,5,1,7,100.0,4,3,2,1,2,1,1,1,2,2,12,12,2
225,2,4,1,2679904,1158329,26,57,56,4,2,3,9,100.0,0,12,3,11,1,1,1,2,1,13,13,12,1
226,1,5,1,2662391,1211092,21,21,64,1,-99,1,9,100.0,3,1,3,11,1,2,1,1,2,12,13,22,7
227,1,2,2,2654873,1186671,12,27,63,2,3,1,6,100.0,6,3,11,22,9,3,2,1,1,2,11,2,7
