HHNR,alter
248,27
249,56
250,47
251,14
252,46
253,44
254,72
255,87
256,12
257,23
258,73
259,86
260,78
261,27
262,34
263,31
264,43
265,13
266,66
267,23
268,12
269,44
270,65
271,88
272,14
273,47
274,32
275,58
276,52
277,75
278,30
279,47
280,61
281,48
282,20
283,53
284,10
285,64
286,48
287,42
288,74
289,18
290,85
291,83
292,66
293,20
294,36
295,68
296,46
297,89
298,43
299,59
300,72
301,81
302,45
303,37
304,11
305,50
306,84
307,69
308,86
309,10
310,30
311,29
312,59
313,33
314,88
315,87
316,38
317,36
318,10
319,37
320,49
321,43
322,38
323,76
324,57
325,49
326,81
327,46
328,73
329,17
330,78
331,41
332,56
333,12
334,85
335,74
336,71
337,46
338,72
339,64
340,44
341,46
342,78
343,45
344,32
345,68
346,70
347,86
348,67
349,22
350,41
351,76
352,57
353,18
354,41
355,53
356,57
357,45
358,72
359,28
360,58
361,46
362,63
363,54
364,15
365,34
366,80
367,82
368,55
369,72
370,57
371,38
372,67
373,42
374,83
375,69
376,29
377,87
378,23
379,39
380,83
381,22
382,51
383,76
384,19
385,41
386,81
387,24
388,86
389,24
390,82
391,86
392,89
393,52
394,55
395,71
396,41
397,60
398,22
399,36
400,39
401,18
402,23
403,22
404,71
405,49
406,73
407,69
408,22
409,56
410,65
411,75
412,25
413,85
414,41
415,36
416,13
417,23
418,22
419,28
420,20
421,72
422,39
423,19
424,88
425,18
426,52
427,77
428,59
429,89
430,57
431,66
432,19
433,53
434,69
435,87
436,14
437,41
438,42
439,18
440,50
441,48
442,67
443,49
444,79
445,10
446,44
447,26
448,26
449,25
450,84
451,30
452,20
453,41
454,14
455,53
456,57
457,30
458,29
459,26
460,29
461,66
462,56
463,48
464,30
465,60
466,44
467,85
468,52
469,61
470,14
471,13
472,82
473,75
474,75
475,25
476,83
477,26
478,52
479,69
480,71
481,23
482,60
483,16
484,72
485,55
486,62
487,26
488,54
489,19
490,56
491,66
492,65
493,26
494,59
495,32
496,33
497,14
498,18
499,72
500,31
501,43
502,38
503,19
504,18
505,87
506,53
507,19
508,64
509,44
510,29
511,87
512,23
513,11
514,53
515,33
516,80
517,22
518,68
519,33
520,18
521,13
522,80
523,27
524,82
525,58
526,63
527,79
528,72
529,82
530,26
531,27
532,85
533,80
534,39
535,31
536,81
537,17
538,84
539,55
540,64
541,27
542,15
543,15
544,60
545,16
546,81
547,87
548,68
549,36
550,74
551,62
552,79
553,66
554,50
555,21
556,34
557,75
558,76
559,75
560,41
561,29
562,52
563,58
564,73
565,54
566,14
567,41
568,48
569,84
570,70
571,26
572,81
573,29
574,27
575,72
576,84
577,26
578,86
579,60
580,72
581,74
582,41
583,28
584,60
585,83
586,82
587,57
588,76
589,53
590,55
591,12
592,26
593,55
594,81
595,38
596,79
597,27
598,38
599,86
600,41
601,48
602,22
603,62
604,85
605,40
606,13
607,11
608,75
609,10
610,71
611,81
612,81
613,39
614,51
615,51
616,54
617,29
618,87
619,83
620,52
621,12
622,76
623,87
624,29
625,23
626,13
627,13
628,47
629,80
630,28
631,33
632,53
633,79
634,57
635,73
636,17
637,56
638,43
639,74
640,15
641,50
642,68
643,27
644,39
645,38
646,48
647,70
648,38
649,15
650,34
651,20
652,63
653,14
654,16
655,24
656,54
657,52
658,70
659,73
660,70
661,86
662,63
663,45
664,19
665,37
666,82
667,59
668,79
669,58
670,68
671,41
672,40
673,86
674,54
675,12
676,64
677,46
678,14
679,35
680,17
681,40
682,13
683,43
684,34
685,81
686,54
687,43
688,42
689,12
690,46
691,82
692,52
693,85
694,28
695,12
696,25
697,41
698,78
699,48
700,79
701,19
702,85
703,52
704,25
705,51
706,89
707,35
708,27
709,22
710,13
711,72
712,86
713,82
714,12
715,49
716,34
717,72
718,12
719,41
720,73
721,11
722,13
723,18
724,21
725,12
726,59
727,69
728,21
729,76
730,70
731,31
732,20
733,14
734,39
735,79
736,85
737,75
738,60
739,31
740,79
741,86
742,19
743,55
744,59
745,42
746,88
747,62
748,68
749,83
750,84
751,51
752,63
753,15
754,29
755,72
756,67
757,18
758,65
759,20
760,26
761,45
762,21
763,37
764,32
765,75
766,59
767,24
768,78
769,70
770,39
771,71
772,69
773,81
774,58
775,82
776,86
777,71
778,53
779,38
780,42
781,88
782,80
783,25
784,82
785,86
786,79
787,73
788,74
789,89
790,88
791,25
792,61
793,65
794,22
795,75
796,64
797,11
798,12
799,62
800,65
801,49
802,67
803,16
804,63
805,76
806,62
807,76
808,54
809,36
810,28
811,56
812,61
813,49
814,41
815,30
816,51
817,64
818,56
819,54
820,69
821,17
822,47
823,22
824,52
825,10
826,72
827,20
828,53
829,72
830,21
831,73
832,56
833,43
834,26
835,14
836,48
837,44
838,27
839,51
840,77
841,74
842,68
843,28
844,30
845,57
846,79
847,33
848,48
849,18
850,84
851,56
852,10
853,34
854,78
855,41
856,87
857,10
858,68
859,74
860,41
861,10
862,38
863,27
864,46
865,21
866,38
867,11
868,19
869,53
870,47
871,46
872,66
873,36
874,38
875,33
876,44
877,21
878,59
879,23
880,25
881,56
882,27
883,80
884,46
885,80
886,25
887,64
888,14
889,74
890,51
891,12
892,37
893,62
894,11
895,73
896,71
897,63
898,36
899,43
900,79
901,82
902,44
903,33
904,60
905,45
906,38
907,17
908,27
909,78
910,35
911,59
912,44
913,29
914,67
915,77
916,48
917,75
918,50
919,22
920,81
921,57
922,24
923,34
924,88
925,78
926,33
927,88
928,57
929,43
930,47
931,85
932,43
933,80
934,13
935,68
936,35
937,54
938,40
939,49
940,67
941,52
942,35
943,40
944,42
945,69
946,83
947,46
948,76
949,61
950,81
951,69
952,86
953,27
954,41
955,77
956,17
957,26
958,81
959,70
960,63
961,36
962,53
963,67
964,83
965,32
966,73
967,79
968,10
969,69
970,33
971,20
972,80
973,17
974,83
975,36
976,76
977,15
978,77
979,87
980,20
981,83
982,41
983,52
984,31
985,54
986,62
987,27
988,69
989,56
990,39
991,86
992,64
993,25
994,86
995,35
996,22
997,55
998,86
999,80
