HHNR,age,dl_car,dl_moto,park_work_car,park_work_moto,park_work_bike,work_home,work_home_perc,height,weight,rdist_sum,rdist_sum_Inland,n_stops,n_trips,travel_times,dist_softmodes,dist_car,dist_pt,dist_other,n_work_trips,n_edu_trips,n_shopping_trips,n_business_trips,n_leisure_trips,n_service_trips,job_x_CH1903,job_y_CH1903,hh_x_ch1903,hh_y_ch1903,hh_size,n_cars_hh,n_moto_hh,n_s_moto_hh,n_mopeds_hh,n_bike_hh,n_ebike_s_hh,n_ebike_f_hh,job_abroad,job_location_city,job_location_popsize_500000_plus,job_location_popsize_200000_500000,job_location_popsize_100000_200000,job_location_popsize_50000_100000,job_location_popsize_50000_minus,job_location_popsize_no_agglo,is_bike_avail,is_small_moped_avail,is_moped_avail,is_moto_avail,is_car_avail,work_sched_fully_fixed,work_sched_fixed_daily_blocks,work_sched_fixed_weekly_monthly,work_sched_fully_flex,ptsub_regional,ptsub_parcours,ptsub_other,ptsub_ht,ptsub_track_sev,ptsub_ga_first,ptsub_ga_second,can_walk_alone,single,married,widowed,divorced,registered_partnership,dissolved_partnership,male,self_employed_with_employees,self_employed_without_employees,employed_by_family,employee_management,employee_with_supervision,employee_without_supervision,compulsory_education,secondary_education,tertiary_education,full_time,part_time,swiss,hh_location_city,hh_location_popsize_500000_plus,hh_location_popsize_200000_500000,hh_location_popsize_100000_200000,hh_location_popsize_50000_100000,hh_location_popsize_50000_minus,hh_location_popsize_no_agglo,pt_access_A,pt_access_B,pt_access_C,pt_access_D,single_household,couple_without_children,couple_with_children,single_parent,non_family_household,hh_income_2000_minus,hh_income_2000_4000,hh_income_4000_6000,hh_income_6000_8000,hh_income_8000_10000,hh_income_10000_12000,hh_income_12000_14000,hh_income_14000_16000,hh_income_16000_plus,work_home_crow_dist,can_work_from_home
101443,73,1,0,1,0,0,2,-99,165,68,3.6450372906925694,3.6450372906925694,6,6,74,3.6450372906925694,0.0,0.0,0.0,2,0,0,0,3,0,500418,117365,500392,117393,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.038209946349085595,1
101500,67,1,0,1,0,0,3,-99,154,52,61.8460423879721,61.8460423879721,6,4,67,0.256042387972104,61.59,0.0,0.0,0,0,2,0,2,0,702688,242689,702688,242689,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0
101509,59,1,0,0,0,0,3,-99,162,91,35.453,35.453,5,5,70,0.0,35.453,0.0,0.0,0,0,3,0,0,2,682141,250071,680203,247285,2,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.3937648710539743,0
101553,45,1,1,0,0,0,3,-99,180,96,186.672,186.672,10,5,207,14.8,3.771,168.101,0.0,0,2,0,0,3,0,759697,247327,757893,247504,5,1,0,1,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.8126624065169994,0
101601,25,1,1,0,0,0,3,-99,173,66,12.4204122748011,12.4204122748011,6,2,79,0.762412274801123,0.0,11.658,0.0,0,0,0,0,2,0,618918,169982,614673,179301,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10.240302046326564,0
101663,33,1,1,1,0,0,3,-99,183,76,9.403,9.403,9,9,28,0.75,8.652999999999999,0.0,0.0,0,0,5,0,2,0,608274,266374,610220,265794,4,1,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0305949866972486,0
101667,44,1,1,1,0,0,3,-99,174,70,34.569,34.569,6,5,95,0.0,34.569,0.0,0.0,0,0,5,0,0,0,572337,178130,556529,177534,5,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,15.819231334044016,0
101722,40,1,0,1,0,0,3,-99,162,69,53.67,53.67,6,6,140,0.0,53.67,0.0,0.0,2,0,0,0,2,2,710727,225957,701821,224159,4,3,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9.085683243433044,0
101844,54,1,1,1,0,0,1,5,168,58,97.163,97.163,4,4,115,0.0,97.163,0.0,0.0,1,2,0,1,0,0,697112,262159,685428,283707,2,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,24.511877937032896,1
101940,52,1,1,0,0,0,1,50,176,72,7.00813349668399,7.00813349668399,5,5,43,7.00813349668399,0.0,0.0,0.0,0,0,3,0,0,2,682544,245415,682544,245415,4,1,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1
102083,68,1,0,1,0,0,3,-99,170,75,11.441,11.441,4,4,60,0.0,11.441,0.0,0.0,3,0,0,0,1,0,665681,209878,667848,209737,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.1715823723727357,0
102106,36,1,1,1,0,0,3,-99,172,73,26.336,26.336,5,4,100,4.0,22.336,0.0,0.0,0,0,0,0,4,0,746398,254373,739103,242172,6,1,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,14.215534671618933,0
102174,41,1,1,1,0,0,1,-99,161,68,17.337,17.337,4,4,79,3.0,14.337,0.0,0.0,0,0,0,0,4,0,685778,230057,681869,226506,4,2,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5.281087198674152,1
102195,38,1,0,1,0,0,3,-99,180,82,9.272,9.272,2,2,12,0.0,9.272,0.0,0.0,0,0,0,0,2,0,563929,129526,562789,130154,3,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.3015314056910037,0
102200,58,1,0,1,0,0,3,-99,171,67,110.544,110.544,6,3,78,0.2,110.344,0.0,0.0,2,0,1,0,0,0,577266,184613,557476,144412,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,44.808085219076254,0
102214,36,1,0,1,0,0,3,-99,158,54,22.642,22.642,3,3,37,0.0,22.642,0.0,0.0,2,0,0,0,1,0,685029,254215,682880,253509,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.2619984526961994,0
102294,31,1,1,1,0,0,3,-99,180,84,73.27199999999999,73.27199999999999,12,10,135,0.35,64.944,7.978,0.0,0,0,4,0,3,1,647111,249077,643096,249651,1,2,1,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.055823097720117,0
102357,42,0,0,0,0,0,3,-99,169,59,136.89784046238998,136.89784046238998,6,2,243,6.96484046239051,0.0,129.933,0.0,0,0,0,0,2,0,500517,117414,500932,115991,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.4822800005397092,0
102602,43,1,0,1,0,0,3,-99,186,69,27.772,27.772,2,2,40,0.0,27.772,0.0,0.0,0,0,0,0,2,0,594901,196726,585451,175949,3,1,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,22.825122759801314,0
102738,51,1,0,1,0,0,2,5,187,95,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,540005,153705,560752,137935,5,2,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,26.0601402336979,1
102750,45,1,0,1,0,0,3,-99,160,58,33.95,33.95,2,2,60,0.0,33.95,0.0,0.0,0,0,0,0,2,0,669713,200794,670443,201738,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.1933297951530415,0
102762,29,0,0,0,0,0,3,-99,167,55,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,499380,120606,501629,126878,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.663031217096315,0
102824,45,1,0,1,0,0,1,0,171,62,32.021,32.021,13,3,124,3.2,0.0,28.821,0.0,2,0,1,0,0,0,696017,233785,707440,232204,2,2,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11.53189013128377,1
102849,37,1,1,1,0,0,3,-99,190,78,7.816,7.816,4,4,70,6.0,1.816,0.0,0.0,0,0,2,0,2,0,533133,155271,508060,137983,4,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,30.455381675493744,0
102957,48,1,0,0,0,0,1,90,173,65,153.75275177256398,153.75275177256398,9,4,225,4.27375177256408,144.045,5.434,0.0,2,0,0,0,2,0,650773,224926,685031,248247,4,1,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,41.442485507025275,1
102991,48,0,0,0,0,0,3,-99,177,84,21.474,21.474,8,4,80,3.9,0.0,17.574,0.0,2,0,2,0,0,0,648127,212412,656785,210035,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8.978368058840092,0
103007,41,1,0,0,0,0,3,-99,170,62,59.688,59.688,4,4,120,0.0,17.781,41.907,0.0,2,0,2,0,0,0,666116,211339,672874,195644,4,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,17.0881125054817,0
103011,35,1,0,1,0,0,3,-99,167,65,20.814,20.814,4,4,60,0.8,20.014,0.0,0.0,3,0,0,0,1,0,501669,116670,506975,123974,4,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9.027848691687295,0
