HHNR,alter
883,37
884,67
885,19
886,50
887,23
888,52
889,31
890,48
891,33
892,58
893,72
894,29
895,66
896,13
897,30
898,44
899,80
900,17
901,43
902,45
903,36
904,39
905,65
906,84
907,63
908,54
909,12
910,70
911,16
912,26
913,17
914,24
915,63
916,55
917,42
918,33
919,43
920,66
921,10
922,18
923,45
924,73
925,82
926,82
927,74
928,41
929,63
930,41
931,81
932,26
933,82
934,13
935,75
936,30
937,63
938,45
939,44
940,59
941,66
942,61
943,23
944,73
945,26
946,56
947,12
948,54
949,35
950,80
951,70
952,35
953,42
954,45
955,24
956,41
957,43
958,46
959,53
960,86
961,30
962,26
963,58
964,70
965,56
966,68
967,88
968,26
969,39
970,87
971,74
972,84
973,20
974,59
975,43
976,75
977,32
978,48
979,32
980,17
981,78
982,78
983,32
984,67
985,62
986,31
987,50
988,78
989,10
990,83
991,31
992,85
993,19
994,23
995,66
996,13
997,47
998,43
999,10
