HHNR,gesl,HAUSB,f81300,A_X,A_Y,alter,f81400,noga_08,sprache,f40800_01,f41100_01,nation,f40900,f40901_02,f40903,WP,A_BFS,f42100e,f41610a,f41610b,f41610c,f41000a,f20400a,f41000b,f41000c,f41001a,f41001b,f41001c
15,1,15,3,2678773,1187827,45,0,59,1,5,2,6,7,8,3,1,3,1,2,2,1,3,1,32,12,3,22,12
16,1,2,2,2635149,1207704,62,86,82,2,-99,2,2,1,0,0,6,6,1,2,2,1,2,5,1,12,12,3,13
17,2,3,3,2681605,1190875,31,0,67,2,-99,2,8,3,4,1,2,3,2,1,1,1,32,0,12,12,13,11,1
18,1,13,1,2650042,1170252,12,47,1,1,3,1,8,2,6,0,0,4,3,1,1,1,1,3,12,12,3,12,3
19,1,12,3,2694616,1236296,13,0,5,4,3,2,6,8,2,9,6,0,3,2,1,1,13,6,13,11,2,22,3
20,2,8,3,2619224,1170136,46,0,6,1,5,1,9,8,1,2,3,0,2,2,1,2,11,8,32,12,2,2,13
21,1,11,2,2621239,1245428,49,60,90,1,2,2,6,7,9,7,6,4,3,1,2,2,11,8,1,12,12,1,32
22,1,15,3,2647251,1177202,57,0,42,4,3,3,1,7,8,6,6,6,2,2,2,1,32,0,1,2,32,32,1
23,1,14,3,2694606,1208737,81,0,62,2,2,2,8,6,6,5,0,0,1,2,1,1,1,5,22,22,22,13,32
24,2,10,3,2654703,1235794,16,0,9,3,-99,2,8,6,3,0,6,0,3,1,2,2,12,5,32,3,22,1,32
25,2,13,3,2682778,1152028,18,0,59,2,3,1,8,7,8,0,5,0,2,1,2,2,13,6,11,11,2,1,12
26,1,19,1,2687776,1198279,37,44,49,4,-99,2,5,9,4,3,4,2,2,1,2,1,11,7,1,13,1,2,12
27,1,2,1,2660432,1196074,40,54,53,1,4,3,3,7,8,7,0,9,1,2,1,1,11,9,3,22,1,12,13
28,1,6,1,2649916,1214206,54,21,55,3,2,3,4,3,5,2,9,3,3,1,2,1,11,0,11,12,2,3,32
29,1,15,2,2622584,1200393,29,66,59,3,-99,3,5,5,4,7,2,3,2,1,1,1,22,7,2,11,22,1,12
30,1,2,1,2606618,1168779,48,69,11,4,3,2,8,6,2,9,8,7,3,1,1,2,3,3,11,22,3,12,12
31,2,4,2,2661550,1192880,70,70,69,3,4,3,8,3,3,7,0,4,1,1,1,2,11,7,1,3,32,32,2
32,2,1,3,2650453,1173510,57,0,97,3,2,3,3,9,2,0,5,6,3,1,1,1,13,0,3,2,32,22,13
33,2,19,3,2646247,1227483,33,0,87,3,3,3,8,0,5,9,2,1,2,1,1,2,32,4,13,12,11,1,12
34,2,11,1,2697433,1186516,49,82,46,3,2,3,1,0,8,8,7,7,2,2,2,1,2,1,22,2,13,32,2
35,1,8,2,2662686,1184710,11,21,8,3,4,1,4,0,7,6,5,9,3,2,1,1,12,5,1,11,1,11,2
36,1,7,1,2687313,1202858,63,93,89,4,1,1,1,6,4,8,8,9,3,1,1,1,13,1,3,22,22,11,32
37,1,5,1,2633816,1208571,32,26,90,4,2,2,0,3,5,1,7,0,1,2,2,1,2,9,1,32,2,2,3
38,2,15,1,2670265,1245404,67,15,69,2,3,1,0,7,7,9,5,8,3,2,1,2,12,4,1,12,12,32,13
39,1,2,2,2631208,1184237,24,46,61,4,2,2,8,4,2,3,9,2,1,2,2,2,11,3,32,3,2,12,2
40,2,16,3,2606717,1233285,12,0,49,4,2,3,3,2,5,2,9,8,3,1,1,1,12,2,3,3,11,12,22
41,1,15,3,2635368,1187359,52,0,9,1,3,2,1,5,6,2,7,1,1,2,1,2,32,4,32,13,22,3,22
42,2,2,1,2693591,1193956,75,82,7,2,2,1,4,8,4,7,3,8,3,1,2,2,11,5,3,2,22,11,1
43,1,1,1,2668198,1240965,35,6,62,3,3,1,9,4,4,1,5,6,3,1,1,2,2,5,32,3,3,11,1
44,1,9,3,2651209,1216226,27,0,88,3,4,3,7,3,8,2,7,8,2,1,2,2,11,7,3,1,2,22,22
45,2,1,1,2669079,1177051,32,90,51,2,5,2,3,3,2,9,2,2,3,1,1,2,2,3,3,11,32,12,12
46,2,10,3,2683850,1240132,73,0,88,1,1,2,2,5,7,8,9,3,3,1,1,1,12,4,22,11,32,1,12
47,2,6,3,2698047,1155214,84,0,66,1,3,2,7,6,0,4,0,6,1,2,1,2,11,3,2,1,1,32,3
48,2,18,3,2684081,1164042,64,0,95,4,5,1,4,3,8,0,8,7,2,2,2,2,3,1,12,12,1,2,22
49,1,17,2,2656937,1214546,87,1,95,2,3,1,3,7,7,0,6,5,3,1,1,2,1,0,22,32,3,32,3
50,2,12,3,2698258,1168558,15,0,4,2,3,2,4,4,1,6,2,2,2,2,2,2,22,8,22,22,2,11,11
51,2,3,3,2690030,1229747,27,0,42,2,1,1,4,5,6,8,9,7,3,2,2,2,2,3,2,13,2,13,1
52,1,16,3,2673542,1205153,25,0,91,3,5,3,7,4,7,1,7,7,1,1,2,2,22,7,3,2,22,11,1
53,1,7,2,2625919,1205322,71,56,69,2,-99,2,6,5,4,2,5,4,1,2,2,1,13,7,1,1,3,11,12
54,1,15,3,2668192,1187736,65,0,84,1,4,3,1,0,0,6,2,7,2,1,2,1,2,3,32,13,1,3,32
55,1,19,3,2639083,1200092,10,0,14,1,5,2,0,6,5,3,1,0,1,1,1,2,2,9,32,22,2,11,2
56,1,3,3,2608511,1179446,59,0,94,2,3,1,0,0,3,2,8,2,1,2,2,1,32,0,11,3,2,11,2
57,1,3,1,2621900,1239999,10,95,53,3,-99,3,5,9,7,0,9,0,3,1,1,1,2,6,12,1,2,13,12
58,1,8,3,2690431,1177232,61,0,1,3,3,2,1,4,0,4,4,0,2,1,1,2,11,1,13,12,11,1,2
59,2,8,3,2631873,1158749,82,0,86,4,2,1,8,2,4,7,7,2,3,2,1,2,1,3,3,22,3,3,32
60,1,10,3,2601603,1176305,15,0,96,4,4,3,2,9,8,9,5,8,3,2,2,2,11,8,1,2,2,12,22
61,2,6,1,2673572,1208751,50,25,3,2,5,2,1,3,7,6,9,6,1,1,2,1,1,5,13,12,22,32,11
62,2,15,2,2652202,1199575,57,27,86,2,4,1,2,2,9,2,5,6,3,2,2,1,1,5,1,3,22,2,11
63,2,15,3,2682982,1242041,63,0,51,3,1,3,5,9,1,4,3,2,1,1,1,2,13,8,1,3,32,32,1
64,1,1,3,2676999,1231459,55,0,49,1,4,3,4,8,1,9,0,2,3,2,1,2,3,7,2,22,32,13,3
65,2,2,2,2611740,1204946,71,74,41,1,1,2,3,8,7,1,3,2,3,2,2,2,3,0,12,2,11,3,3
66,1,18,3,2683642,1175024,52,0,60,4,5,1,9,3,1,0,5,9,2,2,1,1,13,6,12,11,11,11,32
67,1,8,3,2611688,1159976,15,0,3,3,1,1,7,5,3,0,6,1,3,1,2,2,1,3,13,3,2,22,13
68,1,5,1,2697606,1171671,57,46,43,1,3,2,6,0,4,1,5,0,1,1,2,2,32,5,32,2,1,13,2
69,1,9,1,2629525,1191798,38,79,45,2,1,1,6,3,5,2,9,5,1,1,2,2,1,2,32,1,32,11,13
70,2,2,1,2649210,1166463,72,91,46,4,5,2,9,3,7,7,1,5,3,1,2,2,32,9,2,32,22,13,11
71,1,17,1,2604606,1161668,10,9,42,2,4,2,4,4,2,0,5,1,2,1,1,1,22,6,13,1,3,12,32
72,1,6,3,2605005,1248335,56,0,12,1,2,1,8,6,1,3,8,0,1,1,1,1,1,8,22,22,11,12,3
73,2,1,2,2656919,1163457,30,51,55,3,-99,1,8,9,8,1,0,6,3,2,2,2,3,7,3,12,13,1,13
74,2,3,2,2683445,1175104,88,22,47,1,4,2,5,6,3,6,2,1,1,2,2,1,32,5,32,22,32,12,13
75,2,7,3,2650426,1184279,82,0,12,3,5,3,7,5,8,7,9,9,3,1,1,2,2,0,13,1,11,12,32
76,2,7,2,2662446,1170245,48,54,41,2,3,1,7,4,0,3,1,6,1,1,1,2,32,6,32,32,2,1,12
77,2,11,3,2661769,1228062,52,0,47,3,2,2,7,0,9,6,2,3,1,2,1,1,12,7,11,32,13,13,32
78,1,16,1,2642310,1212797,76,79,66,2,1,3,3,2,4,8,6,2,2,1,2,1,12,8,12,12,1,1,32
79,2,15,2,2664327,1205754,70,59,53,1,2,3,9,8,6,6,7,2,2,2,1,1,32,0,2,11,3,12,1
80,2,14,1,2600847,1172289,59,26,2,3,4,1,0,4,8,8,0,7,3,2,2,1,22,0,3,11,13,1,13
81,2,15,3,2699479,1167034,14,0,14,2,3,3,3,0,9,6,8,6,3,2,1,2,1,1,11,32,32,22,11
82,2,9,3,2659543,1233545,12,0,94,3,1,1,9,2,2,9,3,2,3,1,1,2,11,3,22,1,22,13,2
83,1,2,3,2643071,1170466,32,0,60,3,4,1,8,3,2,7,9,2,2,1,2,2,11,3,32,11,13,13,12
84,2,18,1,2646079,1166062,43,87,49,3,4,3,8,3,8,9,7,8,3,2,2,2,22,6,2,2,13,32,22
85,2,12,2,2648045,1182890,77,3,97,1,-99,3,2,2,9,6,8,2,3,1,1,2,32,4,22,12,11,2,22
86,2,2,2,2661742,1249387,70,35,3,1,4,2,2,5,2,7,1,6,1,2,2,1,11,4,2,2,11,22,11
87,2,6,1,2626377,1209668,82,84,98,4,3,2,4,7,8,8,9,0,1,1,1,1,22,9,1,2,11,32,12
88,2,1,1,2603134,1231177,31,79,96,2,5,3,5,0,4,0,8,5,2,1,1,1,1,3,12,12,22,12,13
89,2,5,2,2612758,1213053,63,9,61,4,4,3,0,8,7,4,3,2,3,1,1,1,12,8,1,12,12,2,12
90,1,13,1,2687470,1208640,87,19,68,3,4,1,0,6,2,3,3,8,2,2,2,1,3,8,2,2,2,22,1
91,1,7,1,2663477,1244332,35,70,3,3,1,2,4,8,5,2,8,9,2,2,2,1,32,7,11,13,2,2,2
92,2,19,3,2658696,1173692,31,0,64,2,-99,1,4,6,7,5,3,0,2,2,1,2,12,9,12,3,22,13,13
93,1,18,3,2623766,1161093,75,0,50,4,3,1,3,9,8,2,1,8,1,2,1,1,11,5,1,12,12,13,13
94,1,8,3,2661235,1195533,40,0,59,3,3,1,7,1,7,4,1,7,2,2,1,1,2,7,2,11,22,2,2
95,2,19,1,2669781,1245460,60,94,86,1,5,1,0,7,1,7,9,4,2,2,2,2,2,8,22,1,12,13,22
96,1,10,1,2641303,1174158,39,42,97,3,4,3,4,3,5,1,2,5,3,2,1,1,22,0,32,22,12,32,3
97,2,5,3,2679404,1208473,39,0,61,3,-99,2,7,1,7,3,8,1,1,2,1,1,3,3,13,3,12,3,1
98,2,16,2,2650975,1171508,41,68,2,1,4,1,8,2,2,2,7,2,2,1,2,2,13,8,1,11,1,13,32
99,2,7,1,2681477,1151846,54,93,58,4,3,2,1,3,3,8,7,8,3,2,1,1,32,1,2,11,1,11,3
100,2,1,2,2630913,1235013,30,40,60,1,-99,2,1,7,1,9,0,9,1,1,2,2,1,1,22,13,22,2,1
101,1,18,1,2648164,1197586,58,75,60,2,3,3,6,2,4,5,4,8,1,1,2,2,22,6,12,13,12,32,22
102,1,2,2,2690387,1249874,14,98,14,3,2,1,5,0,9,2,7,6,1,2,1,1,12,3,3,3,13,3,32
103,1,18,1,2607073,1221763,68,12,5,4,3,3,6,2,6,8,1,2,1,1,2,2,32,9,12,2,3,22,1
104,2,8,2,2618663,1159625,41,70,9,2,2,2,7,2,5,0,5,3,1,1,1,1,11,2,11,1,3,2,32
105,2,2,3,2681399,1227602,76,0,41,1,2,3,3,4,5,7,9,2,2,2,2,2,12,0,1,13,13,12,12
106,1,14,1,2660231,1197006,86,15,86,2,3,1,7,3,2,7,6,7,2,2,2,1,11,9,11,1,2,2,12
107,2,13,2,2642778,1159734,89,41,4,3,-99,3,7,3,5,8,8,7,2,1,1,1,32,0,12,13,12,2,13
108,1,12,1,2691825,1169590,68,24,9,4,4,3,8,8,2,9,6,8,3,1,2,2,11,8,32,32,3,1,32
109,1,1,1,2611494,1193793,16,87,82,4,3,1,6,5,9,5,2,7,3,2,1,2,32,2,32,11,11,12,11
110,1,15,2,2661172,1233757,69,82,64,2,-99,2,9,1,8,4,4,7,1,1,1,1,13,1,1,13,2,13,32
111,2,3,3,2624131,1238204,23,0,2,1,4,3,0,5,4,5,2,2,1,2,2,2,11,3,22,2,1,32,11
112,2,4,3,2621361,1201959,27,0,12,2,4,1,2,8,6,1,6,3,3,1,1,2,32,5,32,12,11,11,1
113,1,17,2,2696046,1243679,33,39,65,4,4,2,0,9,5,2,5,2,2,2,2,2,32,1,22,12,11,1,1
114,1,9,1,2666563,1190116,30,94,10,2,5,1,8,3,2,3,3,3,1,2,2,1,12,5,3,22,12,3,32
115,1,16,1,2653555,1234493,45,82,14,4,1,1,0,8,6,0,2,8,3,1,1,2,1,2,1,11,22,1,1
116,1,13,3,2674701,1216279,17,0,97,1,5,3,4,6,6,0,7,9,3,2,1,2,22,4,32,12,22,11,12
117,1,4,1,2677408,1239272,56,67,53,2,2,3,4,0,0,2,2,2,2,1,1,2,12,0,13,32,11,2,22
118,1,5,1,2634353,1175903,51,24,52,4,5,1,1,0,9,1,1,3,2,2,1,2,11,1,13,22,3,22,22
119,1,10,3,2689582,1168579,27,0,92,2,5,3,6,5,8,3,0,2,2,2,1,2,22,8,22,11,11,1,3
120,2,8,3,2613190,1202229,54,0,46,3,3,3,1,6,4,3,6,7,1,2,1,1,22,6,12,12,12,13,22
121,2,13,1,2683128,1218302,24,68,53,1,-99,3,1,7,7,6,3,9,2,1,2,1,22,2,1,11,1,2,3
122,2,15,2,2678211,1161253,62,80,42,1,5,1,4,8,6,4,2,5,3,1,2,1,13,5,12,11,32,11,13
123,1,16,3,2609875,1195960,62,0,60,1,5,2,4,1,7,4,1,4,3,1,2,1,2,3,3,11,3,3,11
124,1,6,2,2629879,1171148,47,89,66,2,3,2,1,4,7,2,8,7,2,1,1,2,22,5,22,3,11,2,22
125,2,13,1,2686818,1161086,36,64,13,2,-99,3,7,5,4,2,1,4,3,1,2,2,12,5,11,12,11,22,3
126,2,18,1,2618386,1158430,44,73,56,3,2,3,8,4,4,2,4,1,3,1,1,1,32,1,2,13,2,12,32
127,2,4,3,2665691,1227113,64,0,99,3,2,3,6,7,6,8,6,6,1,1,2,1,12,5,2,32,1,32,11
128,2,15,1,2606961,1210894,82,53,84,3,4,1,5,6,4,6,1,5,2,2,2,2,13,4,32,13,13,11,12
129,1,12,1,2659796,1242763,51,24,46,4,3,2,2,4,1,6,9,5,1,1,1,2,13,4,12,3,3,3,32
130,2,3,1,2603736,1231499,25,100,98,2,2,1,4,0,0,8,0,8,2,2,2,2,12,6,3,32,11,22,13
131,2,8,1,2666640,1226170,73,20,86,1,3,1,9,7,4,8,8,2,2,1,2,2,1,1,32,32,2,3,22
132,2,6,1,2629126,1156076,70,60,9,1,1,2,1,3,4,7,0,6,3,1,2,2,32,2,1,12,11,12,13
133,1,2,2,2653839,1202922,79,3,59,4,1,3,1,3,5,3,6,1,2,1,1,1,22,9,1,11,11,12,32
134,1,6,2,2655965,1222100,65,35,50,3,3,3,5,6,0,0,8,2,1,1,1,2,3,5,22,22,13,22,2
135,1,5,2,2696152,1212015,29,45,8,2,-99,2,9,9,4,7,2,8,2,2,1,1,32,7,1,12,1,22,11
136,1,3,3,2601724,1229889,25,0,95,4,-99,1,0,1,0,3,0,4,1,1,1,2,32,9,12,22,3,2,1
137,2,6,1,2653812,1243928,86,80,67,2,1,1,2,5,2,2,9,7,3,2,2,2,3,5,11,2,3,3,3
138,1,7,2,2671645,1175479,32,6,51,2,-99,2,1,7,2,4,4,0,2,2,1,1,1,1,2,11,11,12,1
139,1,14,1,2602501,1185768,18,55,67,3,4,3,7,9,0,0,1,7,2,2,2,2,3,3,13,2,1,22,13
140,1,16,2,2690557,1178912,36,6,92,3,4,3,9,8,4,4,2,4,1,1,1,1,1,9,22,12,12,3,1
141,1,3,1,2629116,1180640,49,11,61,2,3,3,7,2,5,4,2,3,3,1,2,2,3,1,13,2,32,13,11
142,1,8,2,2699415,1221411,43,8,10,3,4,1,2,3,1,0,1,9,3,1,2,2,13,0,1,13,22,12,2
143,1,7,2,2639748,1167339,36,8,47,2,3,3,4,3,6,3,2,4,2,1,2,1,3,3,1,11,22,2,22
144,2,17,1,2627417,1186010,26,36,14,1,4,3,5,7,3,9,3,3,3,2,2,2,11,2,13,2,3,1,12
145,1,10,3,2630058,1181512,66,0,55,1,3,2,2,1,2,1,2,2,3,1,2,1,32,6,1,22,11,1,32
146,1,17,3,2693270,1241578,40,0,41,4,3,3,3,7,6,0,3,0,3,2,2,1,1,8,12,3,13,13,12
147,2,13,2,2645150,1227511,33,23,53,1,2,1,6,4,1,6,7,0,2,2,2,1,3,0,13,11,11,12,13
148,1,18,3,2642902,1183194,23,0,96,1,4,3,3,4,8,0,5,9,1,2,2,1,32,1,12,2,12,32,1
149,1,12,2,2602914,1163878,88,65,42,1,5,1,8,3,5,7,3,7,3,1,1,2,32,6,1,2,32,12,32
150,2,8,3,2698574,1194265,19,0,8,4,4,1,8,3,9,3,0,9,1,1,1,1,12,1,22,11,12,11,32
151,2,1,3,2645324,1194987,44,0,47,3,4,2,3,3,3,0,2,6,3,2,1,1,22,7,12,3,11,2,3
152,1,4,3,2654909,1237879,72,0,95,3,5,1,6,8,4,7,3,2,2,1,1,2,13,6,13,3,11,32,11
153,1,13,3,2631259,1188943,37,0,46,1,-99,2,6,0,0,5,2,8,3,1,2,2,13,2,2,12,3,1,12
154,2,6,2,2648540,1219213,45,31,61,2,5,3,3,4,7,1,3,6,3,2,2,2,1,0,22,2,22,12,1
155,2,16,1,2607475,1183636,82,61,99,3,4,2,6,6,4,6,7,6,1,2,2,1,12,7,32,11,11,1,3
156,2,9,1,2621862,1184191,61,61,41,2,4,3,2,7,1,9,5,2,1,1,1,2,11,0,11,2,12,2,22
157,2,12,1,2650576,1232313,22,9,95,4,4,2,1,5,6,9,1,7,3,1,2,2,3,8,1,22,11,13,11
158,2,6,2,2610465,1211146,89,71,49,4,4,2,3,8,3,2,1,3,1,2,1,1,13,8,12,13,11,32,22
159,1,11,2,2641846,1219175,58,29,99,3,3,2,5,5,6,0,6,7,2,1,1,2,13,8,2,32,22,11,11
160,2,12,1,2651254,1155108,82,39,63,1,1,3,2,4,0,3,1,4,1,2,1,1,22,1,2,2,3,3,32
161,2,7,1,2691666,1218038,20,26,68,4,1,2,2,8,0,9,4,4,1,2,2,2,2,5,12,22,2,3,32
162,2,6,2,2670128,1184623,31,17,35,4,3,2,6,9,3,1,0,2,1,2,1,1,1,1,3,22,1,13,12
163,2,3,2,2602121,1173841,23,22,50,1,-99,1,6,6,4,4,1,4,3,2,2,2,1,8,11,11,32,22,13
164,2,17,1,2616777,1230517,22,46,91,4,2,1,3,5,5,3,6,4,3,2,1,2,11,4,1,3,13,12,22
165,2,5,3,2608536,1160478,57,0,64,3,3,2,9,4,2,0,3,2,1,1,1,1,22,9,11,2,12,32,13
166,1,13,1,2624977,1152751,47,1,91,4,4,3,4,5,6,6,1,9,2,1,2,1,3,4,22,3,11,32,12
167,1,14,2,2677529,1228849,64,8,13,4,2,3,9,4,5,3,1,0,2,2,2,2,11,2,2,12,32,32,11
168,2,6,3,2642512,1167706,19,0,69,3,-99,1,9,3,5,5,8,9,2,2,1,1,11,1,32,32,13,11,11
169,2,9,1,2662643,1154485,88,48,35,2,-99,2,7,0,6,0,2,5,2,1,2,2,1,4,2,3,13,2,11
170,1,2,1,2659194,1171794,22,39,98,1,1,2,8,2,7,5,9,4,1,2,1,2,1,8,11,1,32,1,1
171,1,8,1,2687379,1158417,33,95,63,4,4,3,4,5,5,8,6,3,1,2,2,1,11,4,22,2,3,12,1
172,2,2,3,2609256,1216061,10,0,1,3,2,3,8,9,0,5,9,8,3,2,2,2,32,8,22,12,1,1,11
173,2,14,2,2651937,1155886,29,27,7,3,4,3,6,8,1,1,2,4,2,2,2,2,13,2,13,11,1,22,2
174,1,2,1,2656909,1178764,48,8,46,3,5,3,3,4,5,5,3,0,1,1,2,1,3,0,12,11,1,13,11
175,1,11,3,2602981,1196331,84,0,50,1,1,1,6,5,7,9,4,8,1,1,1,1,11,2,1,22,3,12,3
176,1,2,2,2652923,1154577,34,79,49,2,3,1,3,1,3,3,9,5,1,2,2,2,2,3,11,2,32,22,22
177,2,13,3,2605122,1159174,65,0,4,1,-99,2,3,8,2,0,8,6,2,1,2,1,3,0,12,2,3,22,2
178,1,12,1,2653815,1171022,21,98,93,3,-99,1,6,1,9,3,2,4,1,2,1,2,11,0,13,12,3,13,1
179,1,18,2,2684658,1174252,64,32,90,3,1,2,6,9,1,1,0,2,3,2,2,1,11,7,13,22,12,1,11
180,1,3,2,2612801,1210537,13,27,94,2,1,3,0,7,8,1,7,4,3,1,1,1,3,6,3,1,13,1,11
181,1,4,1,2610565,1176304,73,86,46,1,2,1,2,7,3,1,3,3,3,2,2,2,1,5,13,22,3,22,13
182,1,7,3,2606083,1191349,50,0,84,1,3,3,0,8,8,3,1,1,1,2,1,2,1,3,13,2,13,1,3
183,2,12,3,2673033,1155043,62,0,94,1,1,3,7,9,9,0,6,8,2,2,1,2,13,6,2,13,11,12,1
184,2,10,3,2696055,1167655,13,0,82,1,-99,1,5,9,6,0,5,8,3,1,1,1,2,5,3,22,13,32,12
185,1,8,2,2651073,1197503,58,85,93,1,2,2,0,0,6,5,7,0,1,1,1,2,22,0,11,1,3,1,2
186,2,17,2,2646143,1174910,71,28,64,4,3,2,4,0,6,4,4,9,3,1,2,2,2,9,11,32,11,1,12
187,1,5,3,2650881,1247547,13,0,3,3,1,3,2,9,5,8,4,7,3,1,2,1,3,3,22,22,3,13,12
188,1,14,2,2633614,1171573,82,34,94,2,2,3,3,8,7,4,5,5,1,2,2,1,2,0,32,12,2,22,11
189,1,15,3,2666459,1211825,18,0,59,3,4,2,7,5,4,9,0,1,3,1,2,2,22,1,11,22,12,22,3
190,2,9,1,2641793,1170331,63,36,98,3,1,3,8,5,5,8,9,1,1,2,2,2,11,6,3,12,2,11,1
191,1,9,2,2614956,1241826,29,71,66,1,4,1,0,9,0,3,8,8,2,1,2,1,12,4,13,3,32,11,1
192,2,18,3,2628141,1206931,68,0,97,2,5,1,8,1,5,4,5,6,3,2,1,2,1,7,3,22,22,12,32
193,2,2,3,2614404,1162879,59,0,91,1,-99,1,5,7,6,4,5,6,1,1,1,1,12,7,11,1,2,11,12
194,1,17,2,2670280,1218684,78,68,52,3,5,2,7,9,3,6,1,2,1,1,2,1,12,0,32,13,12,1,13
195,1,13,2,2611032,1221646,42,71,60,2,4,1,8,2,7,0,8,3,2,1,2,2,3,9,12,1,2,13,3
196,1,17,1,2698626,1154867,46,82,61,3,1,1,9,0,4,1,1,4,1,2,2,1,1,5,32,1,2,13,1
197,1,5,2,2601395,1229846,63,95,69,4,4,1,6,7,1,9,9,4,3,2,1,1,1,4,2,32,22,13,32
198,2,7,1,2636959,1153266,21,49,65,4,1,2,8,7,6,6,0,0,3,1,2,1,1,9,22,1,32,12,3
199,2,14,1,2629148,1195673,88,20,95,2,4,2,8,4,3,5,5,4,3,1,1,2,3,2,11,2,11,11,22
200,1,10,1,2620471,1241961,85,60,65,3,1,3,9,2,2,7,1,7,1,1,1,1,2,9,12,3,11,13,11
201,1,13,3,2666008,1191006,44,0,55,2,1,2,8,6,3,7,4,5,1,1,1,1,13,3,3,11,12,32,12
202,1,6,2,2631546,1193160,49,82,64,1,3,2,3,6,3,3,2,6,2,2,2,1,11,8,11,22,1,22,3
203,2,18,2,2677611,1214383,61,4,4,4,-99,3,2,5,4,3,4,1,3,1,2,1,1,8,1,12,11,11,32
204,2,9,3,2688522,1192509,34,0,68,1,3,1,0,6,6,5,3,2,2,2,2,2,2,5,32,11,12,3,13
205,1,14,1,2681844,1171062,70,63,68,3,-99,2,3,9,8,7,4,8,2,2,1,1,13,9,12,32,3,12,32
206,1,13,3,2661933,1156796,27,0,4,2,3,3,9,2,9,0,8,3,3,2,1,2,13,9,12,11,22,13,2
207,1,18,1,2631391,1154433,75,22,55,3,1,1,1,3,8,3,7,3,1,1,2,2,3,4,2,3,32,11,22
208,1,3,3,2623865,1154515,84,0,98,3,3,1,1,4,2,4,7,3,3,1,1,1,32,7,2,1,11,12,3
209,1,17,3,2643206,1224118,35,0,60,2,3,2,6,1,1,6,0,5,1,2,2,1,3,6,12,13,11,22,32
210,2,17,3,2674630,1162594,78,0,86,2,1,1,9,4,1,6,3,4,3,1,2,2,13,5,11,3,3,32,11
211,1,14,1,2650923,1245714,22,10,56,4,-99,1,2,7,8,7,9,4,2,2,1,2,13,1,22,3,2,1,22
212,2,10,1,2640426,1245485,12,0,9,2,2,2,5,2,3,2,3,5,2,1,2,1,11,6,3,11,32,13,13
213,1,18,3,2645274,1221640,47,0,85,1,2,1,0,7,5,7,9,7,2,2,2,1,32,6,22,11,12,12,22
214,2,7,3,2678428,1160462,35,0,42,1,5,1,7,0,3,1,1,5,1,2,2,1,1,0,13,13,13,11,1
215,1,5,2,2642794,1151977,46,53,97,3,5,3,6,8,6,1,9,9,2,2,1,1,12,8,13,22,1,1,22
216,2,16,3,2658667,1174202,86,0,68,3,5,3,8,4,4,9,1,7,3,2,1,2,13,8,11,1,12,13,22
217,2,7,2,2632789,1154097,80,94,92,2,1,3,2,3,7,7,6,5,2,2,1,1,32,7,2,12,11,2,32
218,1,17,2,2604119,1167780,70,75,9,2,3,2,4,7,5,0,9,6,2,1,1,2,32,5,32,12,1,1,12
219,2,17,3,2664305,1199189,16,0,6,3,4,2,9,3,4,0,3,5,3,2,2,2,32,7,3,12,12,11,11
