HHNR,hhtyp,W_OeV_KLASSE,W_BFS,W_X,W_Y,F20601,hhgr,f30100
112,2,2,7,2623334,1243489,3341,112,4
113,10,8,1,2604498,1186282,6590,113,1
114,2,6,3,2690280,1207995,5070,114,6
115,2,8,6,2643812,1214109,9834,115,0
116,1,2,0,2621251,1231370,1406,116,3
117,2,5,5,2665259,1187633,6696,117,7
118,3,0,5,2686540,1156608,8518,118,5
119,3,4,7,2677632,1218953,6685,119,4
120,3,8,9,2602871,1157245,5473,120,4
121,230,9,5,2675401,1153514,-777,121,8
122,1,3,9,2623436,1177754,2254,122,8
123,2,7,8,2636388,1215162,1712,123,2
124,3,5,8,2608252,1186013,1023,124,4
125,1,1,6,2693456,1154456,1401,125,6
126,2,3,0,2642683,1249854,3042,126,0
127,2,3,1,2634644,1151606,428,127,8
128,3,7,4,2687071,1166802,8836,128,9
129,2,7,3,2628469,1204936,7535,129,7
130,3,9,5,2649620,1154410,7743,130,3
131,10,3,1,2687284,1200714,9348,131,5
132,230,2,0,2629842,1237242,9837,132,5
133,3,3,3,2605673,1181312,5654,133,5
134,2,6,8,2650458,1165521,1181,134,8
135,230,9,4,2653908,1231400,5671,135,1
136,10,0,7,2680812,1192279,6377,136,2
137,230,3,2,2672049,1159914,7126,137,5
138,1,5,1,2698704,1188686,9173,138,0
139,1,2,7,2611007,1220694,9692,139,4
140,10,4,1,2610241,1243275,9884,140,2
141,230,9,2,2640090,1195622,-273,141,0
142,1,3,4,2665068,1160094,8306,142,7
143,2,7,2,2624724,1203409,2741,143,4
144,10,1,3,2615936,1166319,-539,144,3
145,3,1,0,2679129,1182080,4792,145,0
146,230,9,1,2691397,1186427,3921,146,9
147,230,3,5,2631807,1174281,2052,147,7
148,3,7,2,2649261,1207145,4022,148,5
149,10,8,1,2638663,1207303,434,149,3
150,2,1,1,2652297,1241643,9338,150,6
151,1,8,4,2618282,1192618,9462,151,6
152,10,4,6,2609747,1202923,9923,152,7
153,10,7,6,2611382,1194516,-554,153,2
154,10,2,5,2640065,1161681,4348,154,8
155,10,9,1,2602671,1153939,4159,155,5
156,230,8,4,2600070,1160381,8411,156,1
157,230,9,0,2665154,1191230,5111,157,4
158,2,6,6,2635588,1238242,-760,158,2
159,3,8,0,2656613,1207579,658,159,4
160,10,3,5,2603318,1206916,6086,160,9
161,1,0,7,2644280,1187199,8912,161,4
162,2,0,6,2652799,1218237,6253,162,2
163,1,0,3,2646228,1217786,8464,163,7
164,1,7,9,2669825,1206270,158,164,7
165,1,1,0,2600029,1197228,-226,165,6
166,2,7,4,2648270,1245049,9893,166,5
167,2,9,0,2648592,1218756,6380,167,6
168,1,1,9,2616204,1197810,2366,168,4
169,10,4,8,2634683,1169798,2720,169,2
170,3,7,5,2677901,1225060,640,170,3
171,1,4,4,2666621,1239214,-547,171,9
172,3,9,2,2621609,1174897,4050,172,4
173,2,1,0,2671627,1220763,1642,173,1
174,10,4,1,2616991,1153049,5731,174,4
175,230,3,9,2616497,1165558,6163,175,7
176,3,4,5,2656131,1239734,9373,176,5
177,230,9,2,2610711,1168597,5259,177,8
178,1,9,4,2605716,1235247,9045,178,5
179,1,0,2,2621690,1172296,6632,179,0
180,230,7,9,2638435,1173803,3052,180,9
181,2,2,5,2684705,1176305,1227,181,3
182,3,9,9,2698647,1167788,3430,182,4
183,230,0,7,2609998,1225112,1608,183,8
184,1,4,4,2635398,1211529,-919,184,2
185,3,8,0,2696340,1219113,8100,185,6
186,1,9,5,2682857,1244027,7713,186,8
187,1,9,8,2607604,1200127,3924,187,4
188,230,0,3,2654165,1189810,3557,188,3
189,10,6,3,2643564,1215983,1091,189,9
190,1,2,7,2659070,1222759,1182,190,7
191,10,8,4,2647816,1151836,8915,191,9
192,2,1,1,2696420,1166621,-382,192,4
193,3,9,7,2680114,1222713,8538,193,9
194,3,2,6,2631466,1182513,344,194,7
195,1,7,2,2638276,1210071,6635,195,2
196,3,2,0,2650501,1152205,7502,196,3
197,10,0,6,2613500,1211237,7706,197,0
198,3,3,2,2691952,1184493,1918,198,2
199,3,2,0,2640070,1184886,6700,199,9
200,10,3,1,2622752,1226468,515,200,7
201,230,0,4,2647478,1237437,7679,201,1
202,1,6,6,2682737,1160160,1431,202,8
203,3,5,0,2692645,1154175,-313,203,9
204,3,8,0,2682423,1213999,6278,204,2
205,3,5,7,2623840,1180928,4197,205,9
206,230,7,0,2600170,1247170,3268,206,9
207,2,5,9,2646940,1200247,7038,207,5
208,3,1,7,2617545,1177510,3912,208,3
209,230,5,2,2643983,1196677,9518,209,5
210,10,0,8,2689004,1182613,9422,210,3
211,3,6,8,2615384,1183715,3047,211,3
212,1,3,1,2696463,1228439,3675,212,6
213,2,3,1,2639090,1163617,5611,213,0
214,3,3,3,2695241,1237808,4967,214,1
215,3,3,9,2677696,1205994,-683,215,4
216,3,8,5,2674796,1248744,5715,216,0
217,10,0,5,2664131,1184723,5451,217,3
218,230,8,6,2624940,1242490,4481,218,9
219,3,5,9,2687432,1225929,8794,219,8
220,3,6,5,2655950,1224935,3479,220,0
221,2,9,0,2617131,1232820,3219,221,8
222,3,4,9,2620175,1245659,9538,222,0
223,3,4,4,2665882,1237328,1144,223,4
224,3,3,5,2675440,1244763,7608,224,5
225,1,7,8,2616525,1208006,1484,225,8
226,3,2,6,2699924,1176145,4844,226,1
227,3,4,2,2611929,1164429,3783,227,4
228,2,0,0,2629266,1174358,8958,228,0
229,230,9,5,2640000,1214041,7826,229,3
230,2,4,2,2699615,1233165,4030,230,0
231,10,8,6,2656382,1174776,8179,231,4
232,1,2,1,2688219,1161925,2210,232,9
233,230,6,7,2614196,1176219,-120,233,1
234,3,1,2,2613928,1244966,5562,234,6
235,2,9,5,2629237,1195939,8301,235,4
236,3,1,2,2675718,1241484,8414,236,5
237,1,0,9,2608926,1249833,3381,237,6
238,10,1,5,2629226,1176712,2803,238,9
239,230,8,6,2699891,1188635,3423,239,3
240,2,1,1,2654973,1217446,3039,240,5
241,2,6,6,2666083,1160054,2372,241,2
242,3,9,4,2642371,1195025,4514,242,4
243,2,2,7,2638368,1195616,3340,243,6
244,230,6,4,2694403,1179480,6440,244,4
245,10,8,0,2678810,1204298,1171,245,2
246,2,7,4,2643687,1171342,5309,246,5
247,1,8,1,2688330,1247735,-829,247,9
248,230,0,7,2601274,1157817,2664,248,2
249,1,0,0,2629623,1227062,4800,249,5
250,230,5,2,2641810,1179185,9382,250,8
251,1,1,5,2688183,1245155,6104,251,7
252,230,8,1,2692173,1224656,5314,252,8
253,3,4,1,2697034,1247899,8078,253,7
254,3,2,2,2699851,1202246,1546,254,4
255,3,5,9,2693395,1211782,6888,255,5
256,2,5,8,2600026,1194977,8552,256,6
257,3,2,9,2645212,1218366,8250,257,8
258,2,6,6,2638984,1224614,6863,258,8
259,10,1,5,2632966,1213418,8132,259,3
260,10,9,4,2616939,1239663,7798,260,8
261,3,5,4,2660703,1192974,-344,261,1
262,230,4,6,2697029,1194244,890,262,7
263,230,0,1,2602675,1198556,-554,263,2
264,1,0,7,2661504,1166449,1363,264,8
265,1,8,4,2694744,1184014,6706,265,5
266,10,5,2,2678057,1247037,9140,266,7
267,230,3,4,2631963,1199692,6948,267,0
268,3,3,3,2635056,1198834,6624,268,3
269,1,5,6,2634879,1216747,6963,269,2
270,3,4,3,2613233,1175496,9277,270,7
271,2,8,1,2651317,1205116,9604,271,5
272,2,5,5,2613131,1197097,2908,272,8
273,2,5,1,2604236,1176003,9372,273,2
274,230,4,4,2691432,1245483,6074,274,1
275,10,5,8,2671039,1184254,8735,275,0
276,230,3,3,2624437,1187313,1814,276,5
277,2,4,1,2637427,1234739,7914,277,1
278,1,7,2,2657284,1175131,2628,278,7
279,2,1,8,2601466,1152292,3245,279,3
280,230,6,8,2663971,1192035,-233,280,9
281,2,6,1,2603080,1210146,4472,281,9
282,10,4,5,2680658,1220065,-599,282,6
283,230,1,2,2648222,1214267,9033,283,8
284,3,3,9,2622437,1248043,5164,284,8
285,2,0,3,2695037,1227432,8118,285,2
286,1,0,4,2687759,1170412,9968,286,1
287,3,7,9,2655992,1153823,-481,287,3
288,1,8,9,2642722,1204872,1073,288,2
289,1,5,4,2646268,1230675,4024,289,0
290,2,7,1,2689387,1194015,4253,290,2
291,230,5,6,2694204,1202873,8159,291,3
292,2,0,4,2639893,1204353,1360,292,1
293,1,8,7,2624845,1198544,-99,293,8
294,2,9,5,2638220,1153916,3552,294,1
295,2,0,1,2617830,1204832,8705,295,4
296,1,9,6,2693454,1237674,9584,296,3
297,230,5,4,2690403,1208914,1703,297,3
298,2,3,6,2691755,1155757,6966,298,1
299,2,0,0,2647886,1238370,2222,299,9
300,10,8,6,2691609,1152971,4076,300,9
301,1,1,4,2664196,1172397,2267,301,8
302,1,9,8,2670839,1222980,5756,302,2
303,2,9,3,2699103,1243945,6713,303,1
304,2,9,9,2606758,1207846,6309,304,1
305,3,8,9,2652312,1230471,4528,305,6
306,230,8,9,2603388,1167886,244,306,3
307,3,8,7,2697117,1177513,1263,307,9
308,1,0,0,2635190,1206821,-475,308,2
309,10,5,9,2618758,1217411,3928,309,7
310,1,5,4,2635146,1160334,157,310,3
311,230,7,7,2678831,1246167,5620,311,2
312,2,4,3,2673841,1237804,9126,312,4
313,3,6,6,2609890,1170342,-187,313,2
314,10,4,4,2618936,1180977,4901,314,6
315,3,8,0,2674551,1162900,624,315,0
316,3,4,5,2656045,1175284,4723,316,6
317,10,4,9,2699742,1170556,4276,317,1
318,1,5,9,2648944,1175985,6086,318,1
319,10,0,9,2679896,1208216,7828,319,0
320,230,0,4,2626098,1155419,-358,320,2
321,10,8,4,2680248,1174332,5438,321,2
322,2,0,3,2658066,1152594,6660,322,6
323,10,7,6,2650167,1154036,9437,323,2
324,10,0,9,2674282,1218880,5137,324,7
325,1,0,5,2661138,1240426,7126,325,9
326,3,3,6,2634468,1246565,4078,326,2
327,230,5,7,2637827,1166522,5371,327,8
328,3,2,4,2664522,1216341,7770,328,4
329,1,2,8,2652032,1210495,1330,329,0
330,230,4,3,2607419,1167815,-556,330,6
331,230,1,3,2602736,1207858,7180,331,2
332,3,6,4,2613666,1220703,2886,332,5
333,1,9,7,2645651,1222022,5389,333,3
334,10,9,4,2670089,1202276,6608,334,6
335,3,4,5,2626046,1175231,739,335,1
336,2,8,2,2630059,1169750,604,336,8
337,3,0,3,2611674,1162209,4180,337,5
338,230,1,1,2622101,1167018,1825,338,6
339,1,9,9,2665002,1203791,-178,339,3
340,1,4,7,2639053,1170800,7720,340,4
341,2,0,3,2670452,1219560,4714,341,6
342,3,1,1,2665590,1216645,2148,342,7
343,230,2,0,2642337,1236910,6240,343,1
344,3,0,1,2637391,1188794,4941,344,2
345,1,3,5,2691654,1193115,2802,345,4
346,230,3,4,2690816,1173964,2573,346,7
347,1,7,6,2625244,1152956,3346,347,4
348,2,1,0,2641094,1173880,9699,348,2
349,1,0,2,2613455,1162111,-344,349,9
350,10,1,4,2630285,1209754,4986,350,5
351,1,7,2,2689658,1199163,5877,351,5
352,10,0,7,2625341,1204200,8727,352,1
353,10,2,7,2630459,1185291,-22,353,4
354,230,8,0,2686110,1170448,1455,354,5
355,2,0,8,2624426,1218555,4374,355,1
356,3,5,6,2681817,1164840,7924,356,6
357,2,7,4,2679973,1229516,7394,357,7
358,10,6,3,2657686,1228246,3576,358,2
359,230,3,4,2691605,1152231,6143,359,1
360,3,0,8,2661148,1178092,5067,360,1
361,10,4,2,2629943,1197258,7182,361,7
362,3,1,6,2621941,1245589,8827,362,3
363,2,9,8,2624300,1167050,9996,363,7
364,10,1,0,2607530,1155807,6404,364,2
365,3,1,2,2683668,1249140,5700,365,6
366,230,0,1,2663838,1233172,5655,366,5
367,3,7,6,2685273,1204251,491,367,1
368,2,0,8,2655723,1202895,2685,368,7
369,2,2,9,2602583,1186251,230,369,9
370,230,4,4,2613714,1220114,-805,370,1
371,10,5,4,2673254,1230538,5889,371,1
372,2,5,3,2686130,1185151,6540,372,0
373,230,7,1,2674948,1243382,6467,373,5
374,2,6,8,2682614,1236348,8308,374,3
375,10,3,0,2600322,1202935,3350,375,1
376,2,5,1,2653588,1158581,-934,376,1
377,2,5,0,2687993,1230489,4827,377,2
378,230,3,8,2636332,1198567,-954,378,5
379,2,3,8,2692050,1239077,4262,379,6
380,10,5,1,2649866,1199929,-877,380,9
381,230,3,9,2627632,1226750,8485,381,2
382,1,4,1,2681156,1199131,5983,382,0
383,230,5,5,2642881,1233341,795,383,1
384,10,5,0,2680580,1236939,5104,384,3
385,2,9,2,2696682,1223647,4593,385,3
386,1,1,0,2650198,1219670,7100,386,8
387,1,8,8,2686976,1152930,-734,387,7
388,10,8,8,2620481,1154756,1025,388,4
389,2,7,5,2607309,1197247,4672,389,3
390,230,2,5,2666138,1217401,9458,390,9
391,2,0,3,2654816,1202177,2086,391,8
392,3,4,1,2605329,1191236,5876,392,1
393,1,2,3,2601064,1183738,925,393,1
394,2,5,5,2615602,1215351,6523,394,6
395,2,6,0,2638706,1211856,8210,395,6
396,2,5,3,2665102,1187205,5641,396,2
397,2,6,9,2697410,1236050,7821,397,8
398,10,9,4,2651023,1189963,2124,398,5
399,10,2,9,2607625,1218105,4493,399,4
400,3,8,5,2620984,1153769,6854,400,5
401,3,8,0,2692060,1213956,3395,401,9
402,1,0,0,2672968,1190240,3727,402,6
403,10,4,2,2673784,1194745,5818,403,1
404,2,4,3,2684991,1166049,1520,404,2
405,3,2,0,2631509,1236822,1691,405,2
406,1,0,7,2649448,1241782,2971,406,4
407,230,8,6,2670741,1239763,-683,407,6
408,2,1,2,2646171,1221214,2204,408,2
409,230,0,5,2606935,1163542,304,409,3
410,10,0,8,2667877,1244038,8823,410,8
411,3,8,4,2637473,1170205,7865,411,7
412,3,4,9,2656912,1187521,5335,412,4
413,2,0,2,2650311,1249538,8697,413,4
414,3,3,9,2628175,1163720,399,414,2
415,3,5,1,2684717,1195508,6090,415,6
416,1,6,8,2635361,1159676,-693,416,7
417,230,0,5,2671993,1216697,1252,417,2
418,2,6,4,2610585,1157276,3502,418,8
419,3,9,9,2616168,1156180,2796,419,6
420,3,8,7,2635372,1175957,6735,420,0
421,3,6,6,2614698,1185098,2171,421,0
422,3,9,0,2647799,1232008,3614,422,7
423,230,1,7,2682906,1237062,4910,423,0
424,230,7,6,2635178,1230545,9088,424,6
425,3,1,9,2630974,1236725,9550,425,6
426,2,9,3,2690571,1245402,8634,426,3
427,1,5,8,2669357,1219809,1920,427,0
428,1,9,2,2660198,1218570,5817,428,0
429,230,7,5,2611920,1244335,3381,429,1
430,10,3,4,2658843,1238512,6826,430,6
431,10,9,0,2636224,1200100,681,431,0
432,3,3,3,2622387,1238982,1337,432,6
433,1,0,1,2647313,1183785,3483,433,8
434,10,2,7,2635673,1158382,9118,434,9
435,2,9,5,2639575,1241733,1986,435,3
436,10,4,1,2661142,1205039,4942,436,0
437,230,7,5,2658267,1203085,9354,437,3
438,1,9,2,2600035,1227911,7676,438,2
439,1,1,5,2632190,1151501,163,439,3
440,10,6,6,2621710,1184034,9456,440,2
441,1,1,5,2699791,1207214,3169,441,3
442,1,2,7,2674524,1194933,6975,442,7
443,3,3,9,2615375,1248592,3672,443,0
444,2,8,7,2699345,1205426,-589,444,8
445,230,3,8,2626404,1153234,2348,445,0
446,230,9,9,2667153,1249868,1412,446,7
447,10,9,1,2690472,1190819,1341,447,8
448,3,3,7,2685084,1229561,1230,448,0
449,10,6,0,2682382,1224662,6188,449,7
450,10,0,9,2645516,1232551,7512,450,9
451,10,7,5,2654350,1213289,9085,451,5
452,1,7,8,2606429,1216839,8804,452,4
453,10,9,5,2627843,1171289,2571,453,8
454,230,0,9,2630354,1240765,9595,454,0
455,2,7,2,2680403,1172546,1730,455,8
456,1,1,7,2621098,1236625,4740,456,3
457,2,2,1,2603293,1212357,365,457,7
458,10,3,5,2683903,1202091,2283,458,4
459,230,5,9,2692759,1170705,7463,459,4
460,2,3,2,2693453,1201256,-139,460,8
461,10,2,2,2601034,1209020,5309,461,7
462,2,6,7,2649524,1210217,6330,462,5
463,230,1,7,2671030,1179217,-371,463,2
464,230,0,8,2645116,1199465,8955,464,1
465,10,4,4,2679460,1161834,9592,465,1
466,3,8,2,2690607,1217066,4310,466,3
467,10,0,9,2672746,1231346,8720,467,9
468,3,7,7,2654722,1233896,4785,468,0
469,10,0,1,2660971,1192403,7530,469,9
470,230,8,0,2651909,1218645,5436,470,4
471,230,6,0,2673910,1192453,5017,471,4
472,10,6,4,2662212,1174585,3357,472,2
473,230,4,8,2633121,1175449,1561,473,3
474,230,0,8,2621318,1157345,3345,474,5
475,3,3,5,2644060,1246417,9335,475,8
476,10,4,3,2688468,1162331,8292,476,6
477,10,5,7,2608939,1154719,5654,477,4
478,230,4,6,2613157,1204412,9743,478,9
479,3,3,8,2695547,1236991,8484,479,4
480,3,1,2,2636315,1196317,3905,480,3
481,10,9,0,2657476,1224078,3943,481,0
482,230,1,3,2616460,1207373,6473,482,8
483,2,9,0,2615588,1245485,4220,483,4
484,10,1,5,2636374,1187172,6073,484,0
485,1,9,8,2656839,1166574,2810,485,2
486,230,4,5,2660402,1204505,9411,486,6
487,3,9,7,2690797,1161991,3422,487,8
488,230,4,6,2655245,1189213,7876,488,8
489,3,9,1,2620847,1236025,2797,489,3
490,1,0,5,2689951,1197825,2057,490,9
491,2,6,1,2667776,1154648,3004,491,5
492,2,7,6,2698738,1189425,9282,492,0
493,2,6,4,2615397,1241802,2971,493,0
494,10,1,2,2639589,1172225,8552,494,3
495,2,2,1,2667994,1237726,4101,495,1
496,10,5,4,2652729,1201742,5265,496,8
497,1,6,9,2623734,1209795,-229,497,5
498,10,4,9,2675422,1233472,8740,498,1
499,2,5,0,2624415,1248143,5320,499,8
500,1,3,1,2611902,1222364,7777,500,3
501,1,1,6,2644024,1192666,5987,501,3
502,3,5,6,2688200,1157359,9647,502,6
503,3,5,8,2678846,1185817,6429,503,9
504,1,1,9,2602574,1164345,6533,504,5
505,230,6,8,2671117,1176719,1074,505,0
506,1,2,2,2683187,1164190,2220,506,3
507,10,8,8,2671021,1201686,6599,507,8
508,1,6,8,2684041,1202652,5,508,1
509,3,1,5,2662335,1244390,1201,509,1
510,1,1,0,2629119,1197418,4573,510,3
511,10,4,4,2661750,1152693,2419,511,3
512,3,5,6,2653795,1221985,3181,512,1
513,3,1,5,2658105,1231054,2396,513,8
514,3,7,1,2682799,1238005,7311,514,4
515,10,7,2,2663222,1160596,9039,515,4
516,230,9,6,2648655,1232897,9995,516,5
517,230,9,4,2676364,1161205,5639,517,9
518,230,9,0,2648080,1155516,7742,518,0
519,1,5,7,2672230,1194360,6681,519,8
520,230,4,0,2601386,1235288,3761,520,5
521,1,7,7,2617892,1213177,9849,521,0
522,230,6,8,2610931,1192457,7817,522,6
523,230,2,1,2664769,1160400,9577,523,5
524,2,5,0,2666829,1215665,4878,524,9
525,2,0,7,2631960,1210982,3375,525,8
526,10,2,0,2647484,1175530,1911,526,5
527,10,7,5,2642762,1193599,3475,527,3
528,230,3,7,2626986,1228376,5586,528,6
529,10,1,8,2690153,1228236,2529,529,4
530,10,9,5,2674229,1178194,9078,530,6
531,10,7,7,2659377,1248648,2224,531,3
532,3,2,1,2617999,1162798,9355,532,8
533,3,4,7,2672273,1200934,3529,533,2
534,10,4,1,2679386,1205285,-222,534,6
535,3,5,3,2695329,1188735,2912,535,9
536,10,6,8,2662313,1224973,2833,536,2
537,3,8,8,2695365,1220224,9579,537,5
538,1,7,0,2652187,1209758,2072,538,3
539,230,6,2,2679387,1224997,5971,539,2
540,1,8,6,2630546,1207743,-636,540,2
541,2,3,2,2664057,1214841,436,541,0
542,230,6,4,2633793,1215102,7131,542,6
543,2,5,1,2615658,1225471,4059,543,0
544,2,1,0,2670967,1233149,4431,544,1
545,10,8,3,2652571,1237635,-75,545,7
546,2,0,8,2660416,1249968,1240,546,4
547,10,3,4,2647805,1228243,-162,547,7
548,2,5,7,2639656,1232656,-707,548,3
549,1,1,5,2678269,1223366,9181,549,4
550,1,0,8,2644518,1164769,4902,550,6
551,10,8,2,2603351,1220572,592,551,6
552,230,0,6,2621245,1175194,4974,552,6
553,3,2,2,2697421,1171615,2867,553,8
554,10,8,7,2630887,1242558,7283,554,5
555,230,9,4,2627732,1189019,9807,555,3
556,10,3,9,2634905,1247224,5312,556,3
557,10,1,9,2671513,1237583,9417,557,9
558,2,7,8,2678533,1154888,2718,558,3
559,2,8,4,2684995,1212421,6493,559,5
560,3,6,6,2680343,1229985,9842,560,5
561,1,3,4,2670840,1196629,6234,561,6
562,10,2,7,2683510,1243137,1310,562,1
563,230,3,3,2678441,1227920,3850,563,7
564,1,7,9,2628148,1206745,8304,564,2
565,10,6,9,2671206,1228423,1216,565,7
566,10,6,8,2654614,1224247,5983,566,2
567,3,2,5,2627857,1184615,2866,567,2
568,1,5,4,2664942,1200602,163,568,6
569,230,0,9,2637537,1239774,9456,569,0
570,10,9,5,2639413,1212126,5578,570,5
571,3,7,9,2603546,1169257,2991,571,9
572,1,7,9,2607724,1180450,3386,572,1
573,3,2,7,2621749,1228207,2641,573,3
574,1,1,9,2644390,1245857,7219,574,7
575,3,6,1,2678138,1184481,381,575,2
576,1,7,6,2629584,1191343,3763,576,3
577,2,2,1,2641327,1199790,2623,577,7
578,2,3,7,2618747,1223674,8666,578,1
579,10,0,8,2693023,1195329,1620,579,6
580,1,1,6,2667063,1214958,5110,580,6
581,1,2,9,2647524,1230590,3355,581,9
582,1,3,0,2695469,1164860,9335,582,1
583,2,7,5,2663912,1244932,3971,583,8
584,230,2,2,2604803,1155280,8825,584,5
585,2,8,5,2691708,1154551,5196,585,3
586,1,9,0,2695841,1220556,1598,586,9
587,230,7,0,2660052,1169412,6201,587,1
588,230,4,0,2624810,1241488,5413,588,3
589,3,3,0,2619388,1161337,6014,589,4
590,2,6,7,2630207,1160226,1692,590,9
591,1,6,6,2657487,1192743,9659,591,4
592,3,1,4,2655514,1165082,-342,592,6
593,10,7,6,2694631,1246089,4851,593,1
594,2,1,7,2608736,1223136,9287,594,1
595,10,9,2,2614687,1245552,1426,595,7
596,3,0,9,2678283,1199107,2494,596,0
597,230,2,7,2609733,1167545,5783,597,5
598,3,4,4,2684827,1154071,6848,598,4
599,3,0,6,2636887,1235089,6998,599,7
600,2,1,0,2653169,1173281,6243,600,3
601,10,0,0,2642543,1150721,9413,601,3
602,10,1,4,2656250,1223565,4598,602,4
603,1,9,0,2660592,1193835,7068,603,1
604,10,0,2,2604749,1228480,6733,604,7
